county14,cbsatype,county,cntyname2,pop10,afact
2240, , ,Southeast Fairbanks Census Area AK,7029,1
2261, , ,Valdez-Cordova Census Area AK,9636,1
2270, , ,Wade Hampton Census Area AK (D),7459,1
2275, , ,Wrangell City and Borough,2369,1
2282, , ,Yakutat Borough,662,1
2290, , ,Yukon-Koyukuk Census Area AK,5588,1
4001, , ,Apache AZ,71518,1
4003,Metro, ,Cochise AZ,131346,1
4005,Metro, ,Coconino AZ,134421,1
4007,Micro, ,Gila AZ,53597,1
4009,Micro, ,Graham AZ,37220,1
4011, , ,Greenlee AZ,8437,1
4012, , ,La Paz AZ,20489,1
4013,Metro, ,Maricopa AZ,3817117,1
4015,Metro, ,Mohave AZ,200186,1
4017,Micro, ,Navajo AZ,107449,1
4019,Metro, ,Pima AZ,980263,1
4021,Metro, ,Pinal AZ,375770,1
4023,Micro, ,Santa Cruz AZ,47420,1
4025,Metro, ,Yavapai AZ,211033,1
4027,Metro, ,Yuma AZ,195751,1
5001, , ,Arkansas AR,19019,1
5003, , ,Ashley AR,21853,1
5005,Micro, ,Baxter AR,41513,1
5007,Metro, ,Benton AR,221339,1
5009,Micro, ,Boone AR,36903,1
5011, , ,Bradley AR,11508,1
5013,Micro, ,Calhoun AR,5368,1
5015, , ,Carroll AR,27446,1
5017, , ,Chicot AR,11800,1
5019,Micro, ,Clark AR,22995,1
5021, , ,Clay AR,16083,1
5023, , ,Cleburne AR,25970,1
5025,Metro, ,Cleveland AR,8689,1
5027,Micro, ,Columbia AR,24552,1
5029, , ,Conway AR,21273,1
5031,Metro, ,Craighead AR,96443,1
5033,Metro, ,Crawford AR,61948,1
5035,Metro, ,Crittenden AR,50902,1
5037, , ,Cross AR,17870,1
5039, , ,Dallas AR,8116,1
5041, , ,Desha AR,13008,1
5043, , ,Drew AR,18509,1
5045,Metro, ,Faulkner AR,113237,1
5047, , ,Franklin AR,18125,1
5049, , ,Fulton AR,12245,1
5051,Metro, ,Garland AR,96024,1
5053,Metro, ,Grant AR,17853,1
5055,Micro, ,Greene AR,42090,1
5057,Micro, ,Hempstead AR,22609,1
5059,Micro, ,Hot Spring AR,32923,1
5061, , ,Howard AR,13789,1
5063,Micro, ,Independence AR,36647,1
5065, , ,Izard AR,13696,1
5067, , ,Jackson AR,17997,1
5069,Metro, ,Jefferson AR,77435,1
5071, , ,Johnson AR,25540,1
5073, , ,Lafayette AR,7645,1
5075, , ,Lawrence AR,17415,1
5077, , ,Lee AR,10424,1
5079,Metro, ,Lincoln AR,14134,1
5081,Metro, ,Little River AR,13171,1
5083, , ,Logan AR,22353,1
5085,Metro, ,Lonoke AR,68356,1
5087,Metro, ,Madison AR,15717,1
5089, , ,Marion AR,16653,1
5091,Metro, ,Miller AR,43462,1
5093,Micro, ,Mississippi AR,46480,1
5095, , ,Monroe AR,8149,1
5097, , ,Montgomery AR,9487,1
5099,Micro, ,Nevada AR,8997,1
5101,Micro, ,Newton AR,8330,1
5103,Micro, ,Ouachita AR,26120,1
5105,Metro, ,Perry AR,10445,1
5107,Micro, ,Phillips AR,21757,1
5109, , ,Pike AR,11291,1
5111,Metro, ,Poinsett AR,24583,1
5113, , ,Polk AR,20662,1
5115,Micro, ,Pope AR,61754,1
5117, , ,Prairie AR,8715,1
5119,Metro, ,Pulaski AR,382748,1
5121, , ,Randolph AR,17969,1
5123,Micro, ,St. Francis AR,28258,1
5125,Metro, ,Saline AR,107118,1
5127, , ,Scott AR,11233,1
5129, , ,Searcy AR,8195,1
5131,Metro, ,Sebastian AR,125744,1
5133, , ,Sevier AR,17058,1
5135, , ,Sharp AR,17264,1
5137, , ,Stone AR,12394,1
5139,Micro, ,Union AR,41639,1
5141, , ,Van Buren AR,17295,1
5143,Metro, ,Washington AR,203065,1
5145,Micro, ,White AR,77076,1
5147, , ,Woodruff AR,7260,1
5149,Micro, ,Yell AR,22185,1
6001,Metro, ,Alameda CA,1510271,1
6003, , ,Alpine CA,1175,1
6005, , ,Amador CA,38091,1
6007,Metro, ,Butte CA,220000,1
6009, , ,Calaveras CA,45578,1
6011, , ,Colusa CA,21419,1
6013,Metro, ,Contra Costa CA,1049025,1
6015,Micro, ,Del Norte CA,28610,1
6017,Metro, ,El Dorado CA,181058,1
6019,Metro, ,Fresno CA,930450,1
6021, , ,Glenn CA,28122,1
6023,Micro, ,Humboldt CA,134623,1
6025,Metro, ,Imperial CA,174528,1
6027, , ,Inyo CA,18546,1
6029,Metro, ,Kern CA,839631,1
6031,Metro, ,Kings CA,152982,1
6033,Micro, ,Lake CA,64665,1
6035,Micro, ,Lassen CA,34895,1
6037,Metro, ,Los Angeles CA,9818605,1
6039,Metro, ,Madera CA,150865,1
6041,Metro, ,Marin CA,252409,1
6043, , ,Mariposa CA,18251,1
6045,Micro, ,Mendocino CA,87841,1
6047,Metro, ,Merced CA,255793,1
6049, , ,Modoc CA,9686,1
6051, , ,Mono CA,14202,1
6053,Metro, ,Monterey CA,415057,1
6055,Metro, ,Napa CA,136484,1
6057,Micro, ,Nevada CA,98764,1
6059,Metro, ,Orange CA,3010232,1
6061,Metro, ,Placer CA,348432,1
6063, , ,Plumas CA,20007,1
6065,Metro, ,Riverside CA,2189641,1
6067,Metro, ,Sacramento CA,1418788,1
6069,Metro, ,San Benito CA,55269,1
6071,Metro, ,San Bernardino CA,2035210,1
6073,Metro, ,San Diego CA,3095313,1
6075,Metro, ,San Francisco CA,805235,1
6077,Metro, ,San Joaquin CA,685306,1
6079,Metro, ,San Luis Obispo CA,269637,1
6081,Metro, ,San Mateo CA,718451,1
6083,Metro, ,Santa Barbara CA,423895,1
6085,Metro, ,Santa Clara CA,1781642,1
6087,Metro, ,Santa Cruz CA,262382,1
6089,Metro, ,Shasta CA,177223,1
6091, , ,Sierra CA,3240,1
6093, , ,Siskiyou CA,44900,1
6095,Metro, ,Solano CA,413344,1
6097,Metro, ,Sonoma CA,483878,1
6099,Metro, ,Stanislaus CA,514453,1
6101,Metro, ,Sutter CA,94737,1
6103,Micro, ,Tehama CA,63463,1
6105, , ,Trinity CA,13786,1
6107,Metro, ,Tulare CA,442179,1
6109,Micro, ,Tuolumne CA,55365,1
6111,Metro, ,Ventura CA,823318,1
6113,Metro, ,Yolo CA,200849,1
6115,Metro, ,Yuba CA,72155,1
8001,Metro, ,Adams CO,441603,1
8003, , ,Alamosa CO,15445,1
8005,Metro, ,Arapahoe CO,572003,1
8007, , ,Archuleta CO,12084,1
8009, , ,Baca CO,3788,1
8011, , ,Bent CO,6499,1
8013,Metro, ,Boulder CO,294567,1
8014,Metro, ,Broomfield CO,55889,1
8015, , ,Chaffee CO,17809,1
8017, , ,Cheyenne CO,1836,1
8019,Metro, ,Clear Creek CO,9088,1
8021, , ,Conejos CO,8256,1
8023, , ,Costilla CO,3524,1
8025, , ,Crowley CO,5823,1
8027, , ,Custer CO,4255,1
8029, , ,Delta CO,30952,1
8031,Metro, ,Denver CO,600158,1
8033, , ,Dolores CO,2064,1
8035,Metro, ,Douglas CO,285465,1
8037,Micro, ,Eagle CO,52197,1
8039,Metro, ,Elbert CO,23086,1
8041,Metro, ,El Paso CO,622263,1
8043,Micro, ,Fremont CO,46824,1
8045,Micro, ,Garfield CO,56389,1
8047,Metro, ,Gilpin CO,5441,1
8049, , ,Grand CO,14843,1
8051, , ,Gunnison CO,15324,1
8053, , ,Hinsdale CO,843,1
8055, , ,Huerfano CO,6711,1
8057, , ,Jackson CO,1394,1
8059,Metro, ,Jefferson CO,534543,1
8061, , ,Kiowa CO,1398,1
8063, , ,Kit Carson CO,8270,1
8065, , ,Lake CO,7310,1
8067,Micro, ,La Plata CO,51334,1
8069,Metro, ,Larimer CO,299630,1
8071, , ,Las Animas CO,15507,1
8073, , ,Lincoln CO,5467,1
8075,Micro, ,Logan CO,22709,1
8077,Metro, ,Mesa CO,146723,1
8079, , ,Mineral CO,712,1
8081,Micro, ,Moffat CO,13795,1
8083, , ,Montezuma CO,25535,1
8085,Micro, ,Montrose CO,41276,1
8087,Micro, ,Morgan CO,28159,1
8089, , ,Otero CO,18831,1
8091, , ,Ouray CO,4436,1
8093,Metro, ,Park CO,16206,1
8095, , ,Phillips CO,4442,1
8097,Micro, ,Pitkin CO,17148,1
8099, , ,Prowers CO,12551,1
8101,Metro, ,Pueblo CO,159063,1
8103, , ,Rio Blanco CO,6666,1
8105, , ,Rio Grande CO,11982,1
8107,Micro, ,Routt CO,23509,1
8109, , ,Saguache CO,6108,1
8111, , ,San Juan CO,699,1
8113, , ,San Miguel CO,7359,1
8115, , ,Sedgwick CO,2379,1
8117,Micro, ,Summit CO,27994,1
8119,Metro, ,Teller CO,23350,1
8121, , ,Washington CO,4814,1
8123,Metro, ,Weld CO,252825,1
8125, , ,Yuma CO,10043,1
9001,Metro, ,Fairfield CT,916829,1
9003,Metro, ,Hartford CT,894014,1
9005,Micro, ,Litchfield CT,189927,1
9007,Metro, ,Middlesex CT,165676,1
9009,Metro, ,New Haven CT,862477,1
9011,Metro, ,New London CT,274055,1
9013,Metro, ,Tolland CT,152691,1
9015,Metro, ,Windham CT,118428,1
10001,Metro, ,Kent DE,162310,1
10003,Metro, ,New Castle DE,538479,1
10005,Metro, ,Sussex DE,197145,1
11001,Metro, ,District of Columbia DC,601723,1
12001,Metro, ,Alachua FL,247336,1
12003,Metro, ,Baker FL,27115,1
12005,Metro, ,Bay FL,168852,1
12007, , ,Bradford FL,28520,1
12009,Metro, ,Brevard FL,543376,1
12011,Metro, ,Broward FL,1748066,1
12013, , ,Calhoun FL,14625,1
12015,Metro, ,Charlotte FL,159978,1
12017,Metro, ,Citrus FL,141236,1
12019,Metro, ,Clay FL,190865,1
12021,Metro, ,Collier FL,321520,1
12023,Micro, ,Columbia FL,67531,1
12027,Micro, ,DeSoto FL,34862,1
12029, , ,Dixie FL,16422,1
12031,Metro, ,Duval FL,864263,1
12033,Metro, ,Escambia FL,297619,1
12035,Metro, ,Flagler FL,95696,1
12037, , ,Franklin FL,11549,1
12039,Metro, ,Gadsden FL,46389,1
12041,Metro, ,Gilchrist FL,16939,1
12043, , ,Glades FL,12884,1
12045,Metro, ,Gulf FL,15863,1
12047, , ,Hamilton FL,14799,1
12049,Micro, ,Hardee FL,27731,1
12051,Micro, ,Hendry FL,39140,1
12053,Metro, ,Hernando FL,172778,1
12055,Metro, ,Highlands FL,98786,1
12057,Metro, ,Hillsborough FL,1229226,1
12059, , ,Holmes FL,19927,1
12061,Metro, ,Indian River FL,138028,1
12063, , ,Jackson FL,49746,1
12065,Metro, ,Jefferson FL,14761,1
12067, , ,Lafayette FL,8870,1
12069,Metro, ,Lake FL,297052,1
12071,Metro, ,Lee FL,618754,1
12073,Metro, ,Leon FL,275487,1
12075, , ,Levy FL,40801,1
12077, , ,Liberty FL,8365,1
12079, , ,Madison FL,19224,1
12081,Metro, ,Manatee FL,322833,1
12083,Metro, ,Marion FL,331298,1
12085,Metro, ,Martin FL,146318,1
12086,Metro, ,Miami-Dade FL,2496435,1
12087,Micro, ,Monroe FL,73090,1
12089,Metro, ,Nassau FL,73314,1
12091,Metro, ,Okaloosa FL,180822,1
12093,Micro, ,Okeechobee FL,39996,1
12095,Metro, ,Orange FL,1145956,1
12097,Metro, ,Osceola FL,268685,1
12099,Metro, ,Palm Beach FL,1320134,1
12101,Metro, ,Pasco FL,464697,1
12103,Metro, ,Pinellas FL,916542,1
12105,Metro, ,Polk FL,602095,1
12107,Micro, ,Putnam FL,74364,1
12109,Metro, ,St. Johns FL,190039,1
12111,Metro, ,St. Lucie FL,277789,1
12113,Metro, ,Santa Rosa FL,151372,1
12115,Metro, ,Sarasota FL,379448,1
12117,Metro, ,Seminole FL,422718,1
12119,Metro, ,Sumter FL,93420,1
12121, , ,Suwannee FL,41551,1
12123, , ,Taylor FL,22570,1
12125, , ,Union FL,15535,1
12127,Metro, ,Volusia FL,494593,1
12129,Metro, ,Wakulla FL,30776,1
12131,Metro, ,Walton FL,55043,1
12133, , ,Washington FL,24896,1
13001, , ,Appling GA,18236,1
13003, , ,Atkinson GA,8375,1
13005, , ,Bacon GA,11096,1
13007,Metro, ,Baker GA,3451,1
13009,Micro, ,Baldwin GA,45720,1
13011, , ,Banks GA,18395,1
13013,Metro, ,Barrow GA,69367,1
13015,Metro, ,Bartow GA,100157,1
13017,Micro, ,Ben Hill GA,17634,1
13019, , ,Berrien GA,19286,1
13021,Metro, ,Bibb GA,155547,1
13023, , ,Bleckley GA,13063,1
13025,Metro, ,Brantley GA,18411,1
13027,Metro, ,Brooks GA,16243,1
13029,Metro, ,Bryan GA,30233,1
13031,Micro, ,Bulloch GA,70217,1
13033,Metro, ,Burke GA,23316,1
13035,Metro, ,Butts GA,23655,1
13037, , ,Calhoun GA,6694,1
13039,Micro, ,Camden GA,50513,1
13043, , ,Candler GA,10998,1
13045,Metro, ,Carroll GA,110527,1
13047,Metro, ,Catoosa GA,63942,1
13049, , ,Charlton GA,12171,1
13051,Metro, ,Chatham GA,265128,1
13053,Metro, ,Chattahoochee GA,11267,1
13055,Micro, ,Chattooga GA,26015,1
13057,Metro, ,Cherokee GA,214346,1
13059,Metro, ,Clarke GA,116714,1
13061, , ,Clay GA,3183,1
13063,Metro, ,Clayton GA,259424,1
13065, , ,Clinch GA,6798,1
13067,Metro, ,Cobb GA,688078,1
13069,Micro, ,Coffee GA,42356,1
13071,Micro, ,Colquitt GA,45498,1
13073,Metro, ,Columbia GA,124053,1
13075, , ,Cook GA,17212,1
13077,Metro, ,Coweta GA,127317,1
13079,Metro, ,Crawford GA,12630,1
13081,Micro, ,Crisp GA,23439,1
13083,Metro, ,Dade GA,16633,1
13085,Metro, ,Dawson GA,22330,1
13087,Micro, ,Decatur GA,27842,1
13089,Metro, ,DeKalb GA,691893,1
13091, , ,Dodge GA,21796,1
13093, , ,Dooly GA,14918,1
13095,Metro, ,Dougherty GA,94565,1
13097,Metro, ,Douglas GA,132403,1
13099, , ,Early GA,11008,1
13101,Metro, ,Echols GA,4034,1
13103,Metro, ,Effingham GA,52250,1
13105, , ,Elbert GA,20166,1
13107, , ,Emanuel GA,22598,1
13109, , ,Evans GA,11000,1
13111, , ,Fannin GA,23682,1
13113,Metro, ,Fayette GA,106567,1
13115,Metro, ,Floyd GA,96317,1
13117,Metro, ,Forsyth GA,175511,1
13119, , ,Franklin GA,22084,1
13121,Metro, ,Fulton GA,920581,1
13123, , ,Gilmer GA,28292,1
13125, , ,Glascock GA,3082,1
13127,Metro, ,Glynn GA,79626,1
13129,Micro, ,Gordon GA,55186,1
13131, , ,Grady GA,25011,1
13133, , ,Greene GA,15994,1
13135,Metro, ,Gwinnett GA,805321,1
13137,Micro, ,Habersham GA,43041,1
13139,Metro, ,Hall GA,179684,1
13141,Micro, ,Hancock GA,9429,1
13143,Metro, ,Haralson GA,28780,1
13145,Metro, ,Harris GA,32024,1
13147, , ,Hart GA,25213,1
13149,Metro, ,Heard GA,11834,1
13151,Metro, ,Henry GA,203922,1
13153,Metro, ,Houston GA,139900,1
13155, , ,Irwin GA,9538,1
13157,Micro, ,Jackson GA,60485,1
13159,Metro, ,Jasper GA,13900,1
13161, , ,Jeff Davis GA,15068,1
13163, , ,Jefferson GA,16930,1
13165, , ,Jenkins GA,8340,1
13167,Micro, ,Johnson GA,9980,1
13169,Metro, ,Jones GA,28669,1
13171,Metro, ,Lamar GA,18317,1
13173,Metro, ,Lanier GA,10078,1
13175,Micro, ,Laurens GA,48434,1
13177,Metro, ,Lee GA,28298,1
13179,Metro, ,Liberty GA,63453,1
13181,Metro, ,Lincoln GA,7996,1
13183,Metro, ,Long GA,14464,1
13185,Metro, ,Lowndes GA,109233,1
13187, , ,Lumpkin GA,29966,1
13189,Metro, ,McDuffie GA,21875,1
13191,Metro, ,McIntosh GA,14333,1
13193, , ,Macon GA,14740,1
13195,Metro, ,Madison GA,28120,1
13197,Metro, ,Marion GA,8742,1
13199,Metro, ,Meriwether GA,21992,1
13201, , ,Miller GA,6125,1
13205, , ,Mitchell GA,23498,1
13207,Metro, ,Monroe GA,26424,1
13209,Micro, ,Montgomery GA,9123,1
13211,Metro, ,Morgan GA,17868,1
13213,Metro, ,Murray GA,39628,1
13215,Metro, ,Muscogee GA,189885,1
13217,Metro, ,Newton GA,99958,1
13219,Metro, ,Oconee GA,32808,1
13221,Metro, ,Oglethorpe GA,14899,1
13223,Metro, ,Paulding GA,142324,1
13225,Metro, ,Peach GA,27695,1
13227,Metro, ,Pickens GA,29431,1
13229,Micro, ,Pierce GA,18758,1
13231,Metro, ,Pike GA,17869,1
13233,Micro, ,Polk GA,41475,1
13235,Metro, ,Pulaski GA,12010,1
13237, , ,Putnam GA,21218,1
13239,Micro, ,Quitman GA,2513,1
13241, , ,Rabun GA,16276,1
13243, , ,Randolph GA,7719,1
13245,Metro, ,Richmond GA,200549,1
13247,Metro, ,Rockdale GA,85215,1
13249,Micro, ,Schley GA,5010,1
13251, , ,Screven GA,14593,1
13253, , ,Seminole GA,8729,1
13255,Metro, ,Spalding GA,64073,1
13257,Micro, ,Stephens GA,26175,1
13259, , ,Stewart GA,6058,1
13261,Micro, ,Sumter GA,32819,1
13263, , ,Talbot GA,6865,1
13265, , ,Taliaferro GA,1717,1
13267, , ,Tattnall GA,25520,1
13269, , ,Taylor GA,8906,1
13271, , ,Telfair GA,16500,1
13273,Metro, ,Terrell GA,9315,1
13275,Micro, ,Thomas GA,44720,1
13277,Micro, ,Tift GA,40118,1
13279,Micro, ,Toombs GA,27223,1
13281, , ,Towns GA,10471,1
13283, , ,Treutlen GA,6885,1
13285,Micro, ,Troup GA,67044,1
13287, , ,Turner GA,8930,1
13289,Metro, ,Twiggs GA,9023,1
13291, , ,Union GA,21356,1
13293,Micro, ,Upson GA,27153,1
13295,Metro, ,Walker GA,68756,1
13297,Metro, ,Walton GA,83768,1
13299,Micro, ,Ware GA,36312,1
13301, , ,Warren GA,5834,1
13303, , ,Washington GA,21187,1
13305,Micro, ,Wayne GA,30099,1
13307, , ,Webster GA,2799,1
13309, , ,Wheeler GA,7421,1
13311, , ,White GA,27144,1
13313,Metro, ,Whitfield GA,102599,1
13315, , ,Wilcox GA,9255,1
13317, , ,Wilkes GA,10593,1
13319, , ,Wilkinson GA,9563,1
13321,Metro, ,Worth GA,21679,1
15001,Micro, ,Hawaii HI,185079,1
15003,Metro, ,Honolulu HI,953207,1
15005,Metro, ,Kalawao HI,90,1
15007,Micro, ,Kauai HI,67091,1
15009,Metro, ,Maui HI,154834,1
16001,Metro, ,Ada ID,392365,1
16003, , ,Adams ID,3976,1
16005,Metro, ,Bannock ID,82839,1
16007, , ,Bear Lake ID,5986,1
16009, , ,Benewah ID,9285,1
16011,Micro, ,Bingham ID,45607,1
16013,Micro, ,Blaine ID,21376,1
16015,Metro, ,Boise ID,7028,1
16017,Micro, ,Bonner ID,40877,1
16019,Metro, ,Bonneville ID,104234,1
16021, , ,Boundary ID,10972,1
16023,Metro, ,Butte ID,2891,1
16025,Micro, ,Camas ID,1117,1
16027,Metro, ,Canyon ID,188923,1
16029, , ,Caribou ID,6963,1
16031,Micro, ,Cassia ID,22952,1
16033, , ,Clark ID,982,1
16035, , ,Clearwater ID,8761,1
16037, , ,Custer ID,4368,1
16039,Micro, ,Elmore ID,27038,1
16041,Metro, ,Franklin ID,12786,1
16043,Micro, ,Fremont ID,13242,1
16045,Metro, ,Gem ID,16719,1
16047, , ,Gooding ID,15464,1
16049, , ,Idaho ID,16267,1
16051,Metro, ,Jefferson ID,26140,1
16053,Micro, ,Jerome ID,22374,1
16055,Metro, ,Kootenai ID,138494,1
16057,Micro, ,Latah ID,37244,1
16059, , ,Lemhi ID,7936,1
16061, , ,Lewis ID,3821,1
16063,Micro, ,Lincoln ID,5208,1
16065,Micro, ,Madison ID,37536,1
16067,Micro, ,Minidoka ID,20069,1
16069,Metro, ,Nez Perce ID,39265,1
16071, , ,Oneida ID,4286,1
16073,Metro, ,Owyhee ID,11526,1
16075,Micro, ,Payette ID,22623,1
16077, , ,Power ID,7817,1
16079, , ,Shoshone ID,12765,1
16081,Micro, ,Teton ID,10170,1
16083,Micro, ,Twin Falls ID,77230,1
16085, , ,Valley ID,9862,1
16087, , ,Washington ID,10198,1
17001,Micro, ,Adams IL,67103,1
17003,Metro, ,Alexander IL,8238,1
17005,Metro, ,Bond IL,17768,1
17007,Metro, ,Boone IL,54165,1
17009, , ,Brown IL,6937,1
17011,Micro, ,Bureau IL,34978,1
17013,Metro, ,Calhoun IL,5089,1
17015, , ,Carroll IL,15387,1
17017, , ,Cass IL,13642,1
17019,Metro, ,Champaign IL,201081,1
17021,Micro, ,Christian IL,34800,1
17023, , ,Clark IL,16335,1
17025, , ,Clay IL,13815,1
17027,Metro, ,Clinton IL,37762,1
17029,Micro, ,Coles IL,53873,1
17031,Metro, ,Cook IL,5194675,1
17033, , ,Crawford IL,19817,1
17035,Micro, ,Cumberland IL,11048,1
17037,Metro, ,DeKalb IL,105160,1
17039,Metro, ,De Witt IL,16561,1
17041, , ,Douglas IL,19980,1
17043,Metro, ,DuPage IL,916924,1
17045, , ,Edgar IL,18576,1
17047, , ,Edwards IL,6721,1
17049,Micro, ,Effingham IL,34242,1
17051, , ,Fayette IL,22140,1
17053,Metro, ,Ford IL,14081,1
17055, , ,Franklin IL,39561,1
17057,Micro, ,Fulton IL,37069,1
17059, , ,Gallatin IL,5589,1
17061, , ,Greene IL,13886,1
17063,Metro, ,Grundy IL,50063,1
17065, , ,Hamilton IL,8457,1
17067,Micro, ,Hancock IL,19104,1
17069, , ,Hardin IL,4320,1
17071,Micro, ,Henderson IL,7331,1
17073,Metro, ,Henry IL,50486,1
17075, , ,Iroquois IL,29718,1
17077,Metro, ,Jackson IL,60218,1
17079, , ,Jasper IL,9698,1
17081,Micro, ,Jefferson IL,38827,1
17083,Metro, ,Jersey IL,22985,1
17085, , ,Jo Daviess IL,22678,1
17087, , ,Johnson IL,12582,1
17089,Metro, ,Kane IL,515269,1
17091,Metro, ,Kankakee IL,113449,1
17093,Metro, ,Kendall IL,114736,1
17095,Micro, ,Knox IL,52919,1
17097,Metro, ,Lake IL,703462,1
17099,Micro, ,La Salle IL,113924,1
17101, , ,Lawrence IL,16833,1
17103,Micro, ,Lee IL,36031,1
17105,Micro, ,Livingston IL,38950,1
17107,Micro, ,Logan IL,30305,1
17109,Micro, ,McDonough IL,32612,1
17111,Metro, ,McHenry IL,308760,1
17113,Metro, ,McLean IL,169572,1
17115,Metro, ,Macon IL,110768,1
17117,Metro, ,Macoupin IL,47765,1
17119,Metro, ,Madison IL,269282,1
17121,Micro, ,Marion IL,39437,1
17123,Metro, ,Marshall IL,12640,1
17125, , ,Mason IL,14666,1
17127,Micro, ,Massac IL,15429,1
17129,Metro, ,Menard IL,12705,1
17131,Metro, ,Mercer IL,16434,1
17133,Metro, ,Monroe IL,32957,1
17135, , ,Montgomery IL,30104,1
17137,Micro, ,Morgan IL,35547,1
17139, , ,Moultrie IL,14846,1
17141,Micro, ,Ogle IL,53497,1
17143,Metro, ,Peoria IL,186494,1
17145, , ,Perry IL,22350,1
17147,Metro, ,Piatt IL,16729,1
17149, , ,Pike IL,16430,1
17151, , ,Pope IL,4470,1
17153, , ,Pulaski IL,6161,1
17155,Micro, ,Putnam IL,6006,1
17157, , ,Randolph IL,33476,1
17159, , ,Richland IL,16233,1
17161,Metro, ,Rock Island IL,147546,1
17163,Metro, ,St. Clair IL,270056,1
17165, , ,Saline IL,24913,1
17167,Metro, ,Sangamon IL,197465,1
17169, , ,Schuyler IL,7544,1
17171,Micro, ,Scott IL,5355,1
17173, , ,Shelby IL,22363,1
17175,Metro, ,Stark IL,5994,1
17177,Micro, ,Stephenson IL,47711,1
17179,Metro, ,Tazewell IL,135394,1
17181, , ,Union IL,17808,1
17183,Metro, ,Vermilion IL,81625,1
17185, , ,Wabash IL,11947,1
17187, , ,Warren IL,17707,1
17189, , ,Washington IL,14716,1
17191, , ,Wayne IL,16760,1
