Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,SE_A12004_001,SE_A12004_002,SE_A12004_003,SE_B14001_001,SE_B14001_002,SE_B14001_003,SE_B14001_004,SE_B14001_005,SE_B14001_006,SE_A14006_001,SE_A13004_001,SE_A13004_002,SE_A13004_003,SE_A13004_004,SE_A13004_005,SE_A13004_006,SE_A13004_007
1001,05000US01001,Autauga County,"Autauga County, Alabama",al,53261,13435,39826,21115,4859,4178,3819,2967,5292,58786,54765,3364,2449,2609,4685,4136,37522
1003,05000US01003,Baldwin County,"Baldwin County, Alabama",al,201949,45076,156873,78622,15521,19215,15144,9691,19051,55962,204929,9186,5694,6773,16239,19951,147086
1005,05000US01005,Barbour County,"Barbour County, Alabama",al,24954,5216,19738,9186,3564,2413,1317,806,1086,34186,22856,2914,1780,1903,2701,2775,10783
1007,05000US01007,Bibb County,"Bibb County, Alabama",al,21795,4424,17371,6840,1879,1790,1141,1000,1030,45340,20468,1207,493,1163,2482,2623,12500
1009,05000US01009,Blount County,"Blount County, Alabama",al,55869,12220,43649,20600,5231,5294,4297,2461,3317,48695,57082,4173,2178,1869,6305,6270,36287
1011,05000US01011,Bullock County,"Bullock County, Alabama",al,10011,2247,7764,3609,1535,784,624,211,455,32152,9909,1750,536,824,916,741,5142
1013,05000US01013,Butler County,"Butler County, Alabama",al,19397,4147,15250,6708,2279,1875,1013,723,818,39109,19707,1511,1421,1708,2849,1984,10234
1015,05000US01015,Calhoun County,"Calhoun County, Alabama",al,111292,27368,83924,45033,12832,11344,8526,5037,7294,45197,111981,8264,6062,6493,12864,12758,65540
1017,05000US01017,Chambers County,"Chambers County, Alabama",al,32659,7323,25336,13516,4473,3684,2243,1535,1581,39872,33274,2213,1483,1835,4885,4570,18288
1019,05000US01019,Cherokee County,"Cherokee County, Alabama",al,24960,5157,19803,10606,3249,2852,1941,1183,1381,41014,25501,1425,1373,1029,3494,3472,14708
1021,05000US01021,Chilton County,"Chilton County, Alabama",al,42265,9862,32403,16751,4672,4420,3104,1862,2693,45182,43260,3276,1524,3234,5681,4338,25207
1023,05000US01023,Choctaw County,"Choctaw County, Alabama",al,12674,2585,10089,5350,2042,1264,728,518,798,34884,12875,1141,1082,641,1505,1663,6843
1025,05000US01025,Clarke County,"Clarke County, Alabama",al,23689,5003,18686,9358,3580,2287,1321,815,1355,36127,23963,3255,1727,1106,2681,2089,13105
1027,05000US01027,Clay County,"Clay County, Alabama",al,13014,2962,10052,5236,1476,1658,874,450,778,41225,13040,766,850,789,1598,1790,7247
1029,05000US01029,Cleburne County,"Cleburne County, Alabama",al,14526,3325,11201,5726,1904,1445,1108,463,806,40188,14659,697,1014,1008,1418,2019,8503
1031,05000US01031,Coffee County,"Coffee County, Alabama",al,49453,12117,37336,19789,4293,5126,3796,2208,4366,53155,50502,3237,1829,2538,4262,5199,33437
1033,05000US01033,Colbert County,"Colbert County, Alabama",al,52586,10987,41599,21799,6354,4946,4781,2385,3333,47558,53991,3086,2858,2841,5378,5686,34142
1035,05000US01035,Conecuh County,"Conecuh County, Alabama",al,12179,2565,9614,4574,1819,1336,781,345,293,33177,12381,1178,513,1061,2166,2310,5153
1037,05000US01037,Coosa County,"Coosa County, Alabama",al,10666,1770,8896,4103,1215,1358,626,411,493,38301,10452,504,281,674,1792,1024,6177
1039,05000US01039,Covington County,"Covington County, Alabama",al,36122,7605,28517,15008,4579,4012,2637,1696,2084,40601,36586,2888,1702,2112,3884,4073,21927
1041,05000US01041,Crenshaw County,"Crenshaw County, Alabama",al,13413,2987,10426,5025,1730,1239,887,471,698,39812,13661,881,526,741,1956,1872,7685
1043,05000US01043,Cullman County,"Cullman County, Alabama",al,79501,16944,62557,30730,8515,9005,5541,3061,4608,42558,81016,5919,4142,2770,8708,11320,48157
1045,05000US01045,Dale County,"Dale County, Alabama",al,47392,11658,35734,18670,5306,4765,3615,1978,3006,45960,47854,4099,1924,2775,5206,5868,27982
1047,05000US01047,Dallas County,"Dallas County, Alabama",al,38239,10095,28144,16336,6886,4082,2223,1408,1737,31602,39394,5752,3151,3344,5104,4913,17130
1049,05000US01049,DeKalb County,"DeKalb County, Alabama",al,68771,16165,52606,26132,8441,7203,4846,2374,3268,39233,70215,6090,4601,4809,11464,7875,35376
1051,05000US01051,Elmore County,"Elmore County, Alabama",al,78430,18454,59976,29143,5886,6404,5460,4243,7150,59347,76683,3753,2529,3180,5534,6299,55388
1053,05000US01053,Escambia County,"Escambia County, Alabama",al,36026,7608,28418,13428,5113,3749,1996,1132,1438,35000,34383,4346,1443,2479,4258,4607,17250
1055,05000US01055,Etowah County,"Etowah County, Alabama",al,99683,22467,77216,38777,11271,10060,6814,4758,5874,44023,101536,6183,5219,6122,11597,10630,61785
1057,05000US01057,Fayette County,"Fayette County, Alabama",al,16012,3637,12375,6947,2266,1974,1281,743,683,37458,16251,1608,770,880,2030,2176,8787
1059,05000US01059,Franklin County,"Franklin County, Alabama",al,30119,7283,22836,11210,3390,3322,1927,1487,1084,40459,31129,2398,1735,2166,3968,4447,16415
1061,05000US01061,Geneva County,"Geneva County, Alabama",al,25494,5557,19937,10479,3785,2674,1678,1167,1175,38142,26177,2097,1467,2718,3177,2388,14330
1063,05000US01063,Greene County,"Greene County, Alabama",al,8065,1745,6320,2955,1612,612,440,137,154,21804,8344,1652,838,735,993,1391,2735
1065,05000US01065,Hale County,"Hale County, Alabama",al,14244,3543,10701,5658,2300,1356,911,459,632,30571,14648,1467,1289,1053,2119,1545,7175
1067,05000US01067,Henry County,"Henry County, Alabama",al,16603,3444,13159,6669,1768,1631,1526,697,1047,48610,16770,964,539,767,2542,1937,10021
1069,05000US01069,Houston County,"Houston County, Alabama",al,100727,24782,75945,39253,10839,10298,6813,4182,7121,45496,103287,7940,5346,5627,12093,10446,61835
1071,05000US01071,Jackson County,"Jackson County, Alabama",al,50280,10081,40199,20626,6549,6030,3647,1944,2456,39816,51548,4368,2314,3736,7561,5646,27923
1073,05000US01073,Jefferson County,"Jefferson County, Alabama",al,634469,165142,469327,260924,65923,60168,44467,30066,60300,51979,645154,46201,29025,34481,60916,58225,416306
1075,05000US01075,Lamar County,"Lamar County, Alabama",al,13491,2966,10525,5974,1976,1700,1094,416,788,36756,13747,1059,609,1248,1824,1732,7275
1077,05000US01077,Lauderdale County,"Lauderdale County, Alabama",al,89668,21734,67934,38514,10091,10537,6837,4617,6432,46265,90283,5797,3685,4221,9589,10353,56638
1079,05000US01079,Lawrence County,"Lawrence County, Alabama",al,32143,7330,24813,12811,3553,3576,2261,1227,2194,44515,32879,2014,1613,1881,3385,3311,20675
1081,05000US01081,Lee County,"Lee County, Alabama",al,153893,55407,98486,59373,17692,12937,9334,6629,12781,48056,153342,18702,6377,7736,13823,13582,93122
1083,05000US01083,Limestone County,"Limestone County, Alabama",al,90195,22340,67855,32126,7389,6939,5514,4415,7869,56460,90098,4685,3642,4057,7749,7840,62125
1085,05000US01085,Lowndes County,"Lowndes County, Alabama",al,9899,2182,7717,4180,1852,1005,468,364,491,30833,10099,1297,719,804,1636,1086,4557
1087,05000US01087,Macon County,"Macon County, Alabama",al,18503,5537,12966,7637,3145,1964,1036,591,901,32074,16688,2344,1194,764,2379,1772,8235
1089,05000US01089,Madison County,"Madison County, Alabama",al,345256,94773,250483,145256,29199,30029,23713,17747,44568,63417,348232,20535,11995,13430,26620,25730,249922
1091,05000US01091,Marengo County,"Marengo County, Alabama",al,18837,4639,14198,7768,3243,1828,1034,658,1005,32809,19249,1506,1539,1156,2829,2394,9825
1093,05000US01093,Marion County,"Marion County, Alabama",al,29241,6187,23054,12212,4386,3429,1972,919,1506,35392,29463,1741,1690,1713,4005,4584,15730
1095,05000US01095,Marshall County,"Marshall County, Alabama",al,91317,22760,68557,34896,10404,9273,5702,3696,5821,42490,93847,8717,5700,5937,11304,9950,52239
1097,05000US01097,Mobile County,"Mobile County, Alabama",al,398954,101869,297085,155831,44459,38037,27217,17728,28390,46166,405635,35609,20933,21666,43867,38729,244831
1099,05000US01099,Monroe County,"Monroe County, Alabama",al,20580,4147,16433,8149,3711,1705,1041,651,1041,30141,21226,3798,1273,1490,2342,2312,10011
1101,05000US01101,Montgomery County,"Montgomery County, Alabama",al,217768,57872,159896,89835,25062,21473,15109,10117,18074,47990,219767,21527,11769,12183,23520,20135,130633
1103,05000US01103,Morgan County,"Morgan County, Alabama",al,114903,27538,87365,45646,11264,11645,8809,5633,8295,49751,117109,6394,4863,6663,12336,11778,75075
1105,05000US01105,Perry County,"Perry County, Alabama",al,9216,2701,6515,3079,1665,853,260,90,211,23561,8661,683,1707,1226,1223,1041,2781
1107,05000US01107,Pickens County,"Pickens County, Alabama",al,19648,4252,15396,7530,2859,1728,1172,726,1045,37458,18862,1469,1160,1801,2495,1807,10130
1109,05000US01109,Pike County,"Pike County, Alabama",al,32158,11068,21090,11547,4369,3058,1377,1134,1609,34678,31488,4875,2028,1471,2829,4110,16175
1111,05000US01111,Randolph County,"Randolph County, Alabama",al,21735,4648,17087,8643,2565,2418,1845,734,1081,41449,22073,1854,935,1123,2373,3034,12754
1113,05000US01113,Russell County,"Russell County, Alabama",al,55615,14751,40864,22740,7243,5897,4271,2470,2859,40978,57108,6262,2266,2963,6643,6667,32307
1115,05000US01115,St. Clair County,"St. Clair County, Alabama",al,84170,19169,65001,32172,6964,7503,6940,4498,6267,54887,85339,4119,3485,3664,7648,9090,57333
1117,05000US01117,Shelby County,"Shelby County, Alabama",al,203810,55243,148567,78328,11328,13995,13435,11378,28192,75761,207934,7074,4490,5993,12868,13809,163700
1119,05000US01119,Sumter County,"Sumter County, Alabama",al,12590,4118,8472,5047,2732,982,590,392,351,23132,12102,2004,1051,737,1542,2343,4425
1121,05000US01121,Talladega County,"Talladega County, Alabama",al,77852,17860,59992,31407,10028,8317,5565,3524,3973,41012,77204,6197,4422,4782,9912,9240,42651
1123,05000US01123,Tallapoosa County,"Tallapoosa County, Alabama",al,39567,8555,31012,16448,5291,3760,3198,1736,2463,43361,40078,3811,1727,2593,4266,5133,22548
1125,05000US01125,Tuscaloosa County,"Tuscaloosa County, Alabama",al,198894,61026,137868,72379,17876,16566,13135,9326,15476,52221,195629,16528,8204,9326,17615,19024,124932
1127,05000US01127,Walker County,"Walker County, Alabama",al,62411,13620,48791,25036,7652,6596,4200,3007,3581,41748,63468,4930,3182,4413,7324,7199,36420
1129,05000US01129,Washington County,"Washington County, Alabama",al,16307,3911,12396,6007,1832,1766,993,632,784,40794,16382,945,670,1831,1918,2053,8965
1131,05000US01131,Wilcox County,"Wilcox County, Alabama",al,10422,2582,7840,3804,1766,960,563,238,277,27237,10476,1373,907,974,1413,1175,4634
1133,05000US01133,Winston County,"Winston County, Alabama",al,23238,4463,18775,9403,3233,2532,1743,952,943,38504,23509,1357,1424,1036,3795,3373,12524
2013,05000US02013,Aleutians East Borough,"Aleutians East Borough, Alaska",ak,3383,505,2878,860,150,154,161,138,257,69706,3415,185,108,232,294,378,2218
2016,05000US02016,Aleutians West Census Area,"Aleutians West Census Area, Alaska",ak,5622,1002,4620,1176,95,163,218,227,473,85517,5522,160,114,198,501,562,3987
2020,05000US02020,Anchorage Municipality,"Anchorage Municipality, Alaska",ak,282925,76551,206374,106524,11674,17088,19293,14804,43665,83280,288946,11646,7372,7480,17195,17523,227730
2050,05000US02050,Bethel Census Area,"Bethel Census Area, Alaska",ak,16859,5424,11435,4558,1172,948,726,551,1161,54212,17542,1943,1375,1553,2841,2018,7812
2060,05000US02060,Bristol Bay Borough,"Bristol Bay Borough, Alaska",ak,850,193,657,333,39,54,53,56,131,84688,863,33,6,11,67,62,684
2068,05000US02068,Denali Borough,"Denali Borough, Alaska",ak,2200,340,1860,639,73,115,91,114,246,84196,2177,254,96,19,139,297,1372
2070,05000US02070,Dillingham Census Area,"Dillingham Census Area, Alaska",ak,4714,1281,3433,1420,304,314,266,177,359,58750,4923,440,242,167,674,688,2712
2090,05000US02090,Fairbanks North Star Borough,"Fairbanks North Star Borough, Alaska",ak,94638,27209,67429,36513,3971,7220,6540,5802,12980,77095,95430,3851,1311,2587,6587,7329,73765
2100,05000US02100,Haines Borough,"Haines Borough, Alaska",ak,2443,489,1954,1026,133,259,190,148,296,64342,2479,146,34,44,171,251,1833
2105,05000US02105,Hoonah-Angoon Census Area,"Hoonah-Angoon Census Area, Alaska",ak,2069,323,1746,799,122,176,164,143,194,63603,2131,56,53,98,242,229,1453
2110,05000US02110,Juneau City and Borough,"Juneau City and Borough, Alaska",ak,31278,7575,23703,12521,1274,1548,2288,1957,5454,88213,31799,1248,372,894,1091,1480,26714
2122,05000US02122,Kenai Peninsula Borough,"Kenai Peninsula Borough, Alaska",ak,56256,12547,43709,21741,4036,4070,3869,2826,6940,66684,56934,3102,1655,2070,5067,4702,40338
2130,05000US02130,Ketchikan Gateway Borough,"Ketchikan Gateway Borough, Alaska",ak,13268,2913,10355,5327,828,1030,1040,735,1694,70356,13585,684,204,545,883,1145,10124
2150,05000US02150,Kodiak Island Borough,"Kodiak Island Borough, Alaska",ak,13047,3529,9518,4373,618,577,927,630,1621,78281,13373,388,478,377,547,1754,9829
2158,05000US02158,Kusilvak Census Area,"Kusilvak Census Area, Alaska",ak,7553,2634,4919,1692,564,542,303,123,160,35539,8148,1490,779,1027,1804,876,2172
2164,05000US02164,Lake and Peninsula Borough,"Lake and Peninsula Borough, Alaska",ak,1321,340,981,425,111,123,86,44,61,46406,1366,87,69,61,215,136,798
2170,05000US02170,Matanuska-Susitna Borough,"Matanuska-Susitna Borough, Alaska",ak,99173,26752,72421,30879,4979,5347,4955,4266,11332,75905,101349,5042,2279,3155,6250,7873,76750
2180,05000US02180,Nome Census Area,"Nome Census Area, Alaska",ak,9353,2917,6436,2875,558,672,545,448,652,58987,9599,989,508,724,1201,1163,5014
2185,05000US02185,North Slope Borough,"North Slope Borough, Alaska",ak,9319,2183,7136,1966,281,380,317,303,685,75431,9682,446,127,331,772,823,7183
2188,05000US02188,Northwest Arctic Borough,"Northwest Arctic Borough, Alaska",ak,7264,2257,5007,1860,375,405,305,211,564,62949,7656,884,554,483,947,931,3857
2195,05000US02195,Petersburg Borough,"Petersburg Borough, Alaska",ak,3142,653,2489,1170,198,222,240,150,360,66907,3242,99,74,94,197,228,2550
2198,05000US02198,Prince of Wales-Hyder Census Area,"Prince of Wales-Hyder Census Area, Alaska",ak,6223,1412,4811,2356,512,568,459,312,505,54191,6415,371,214,387,682,608,4153
2220,05000US02220,Sitka City and Borough,"Sitka City and Borough, Alaska",ak,8462,2028,6434,3561,540,584,752,545,1140,71534,8554,299,188,152,510,605,6800
2230,05000US02230,Skagway Municipality,"Skagway Municipality, Alaska",ak,1009,171,838,400,34,83,90,64,129,72237,1054,19,8,29,49,80,869
2240,05000US02240,Southeast Fairbanks Census Area,"Southeast Fairbanks Census Area, Alaska",ak,6588,1770,4818,2163,372,375,382,358,676,71541,6789,418,45,267,506,685,4868
2261,05000US02261,Valdez-Cordova Census Area,"Valdez-Cordova Census Area, Alaska",ak,9071,2126,6945,3093,455,501,465,573,1099,82306,9181,465,79,203,397,740,7297
2275,05000US02275,Wrangell City and Borough,"Wrangell City and Borough, Alaska",ak,2420,462,1958,1074,203,261,225,139,246,57583,2463,112,60,20,265,330,1676
2282,05000US02282,Yakutat City and Borough,"Yakutat City and Borough, Alaska",ak,646,153,493,232,34,54,43,48,53,65833,689,25,6,15,81,129,433
2290,05000US02290,Yukon-Koyukuk Census Area,"Yukon-Koyukuk Census Area, Alaska",ak,5182,1403,3779,1906,663,455,318,181,289,40000,5368,720,334,296,632,632,2754
4001,05000US04001,Apache County,"Apache County, Arizona",az,68651,19801,48850,20395,8496,4811,3217,1794,2077,32963,70184,14054,5146,5561,10326,7857,27240
4003,05000US04003,Cochise County,"Cochise County, Arizona",az,121598,28951,92647,49250,13141,12170,9276,6037,8626,48649,117265,7867,6217,6108,14168,13068,69837
4005,05000US04005,Coconino County,"Coconino County, Arizona",az,135730,49258,86472,47276,10811,10068,8655,6491,11251,57616,127640,12599,6170,5399,13128,12161,78183
4007,05000US04007,Gila County,"Gila County, Arizona",az,51646,9901,41745,21708,6532,6118,3714,2485,2859,42092,52501,5894,2725,3188,6403,5848,28443
4009,05000US04009,Graham County,"Graham County, Arizona",az,36374,10184,26190,10782,2736,2490,2213,1615,1728,51352,33458,3726,1396,2000,3027,3675,19634
4011,05000US04011,Greenlee County,"Greenlee County, Arizona",az,9068,2366,6702,3225,501,875,716,454,679,60962,9385,542,164,409,1107,959,6204
4012,05000US04012,La Paz County,"La Paz County, Arizona",az,20081,3330,16751,8912,3435,2366,1420,1030,661,33333,20402,2223,742,1542,2885,3022,9988
4013,05000US04013,Maricopa County,"Maricopa County, Arizona",az,4093055,1104981,2988074,1520767,275086,342050,281762,195265,426604,61606,4198378,289648,150862,177986,371942,392069,2815871
4015,05000US04015,Mohave County,"Mohave County, Arizona",az,200667,36064,164603,85485,22871,25613,16519,9087,11395,43266,201965,15659,7415,12222,25150,26160,115359
4017,05000US04017,Navajo County,"Navajo County, Arizona",az,104057,28078,75979,34407,11762,8432,6002,3804,4407,40054,105735,15487,7401,7275,13931,11788,49853
4019,05000US04019,Pima County,"Pima County, Arizona",az,985069,264242,720827,400907,95769,101099,73779,47184,83076,51037,991092,78562,44858,52802,103431,101755,609684
4021,05000US04021,Pinal County,"Pinal County, Arizona",az,405228,97529,307699,137286,28388,33267,29196,19956,26479,55550,392300,28810,13358,13691,37967,45325,253149
4023,05000US04023,Santa Cruz County,"Santa Cruz County, Arizona",az,44534,12737,31797,15430,4672,4559,2519,1485,2195,40467,46214,3786,3251,4043,8133,5848,21153
4025,05000US04025,Yavapai County,"Yavapai County, Arizona",az,218770,43128,175642,96007,22238,25585,20430,10974,16780,50180,220076,14049,7275,9489,23005,22521,143737
4027,05000US04027,Yuma County,"Yuma County, Arizona",az,198803,53670,145133,72463,19291,20893,13486,8239,10554,44058,202390,16419,11383,12789,29863,26874,105062
5001,05000US05001,Arkansas County,"Arkansas County, Arkansas",ar,17479,3984,13495,7682,2571,2092,1303,594,1122,39466,17786,1403,829,1331,2438,2128,9657
5003,05000US05003,Ashley County,"Ashley County, Arkansas",ar,19907,4888,15019,7915,2591,2188,1348,700,1088,39635,20352,1409,871,1830,3113,2125,11004
5005,05000US05005,Baxter County,"Baxter County, Arkansas",ar,40122,7286,32836,18370,4824,6221,3473,1498,2354,41481,40634,1851,1983,1842,4617,5146,25195
5007,05000US05007,Benton County,"Benton County, Arkansas",ar,248165,64460,183705,94333,14878,21348,18278,12323,27506,64141,255849,10145,7051,8160,23682,24619,182192
5009,05000US05009,Boone County,"Boone County, Arkansas",ar,35748,8067,27681,14870,3826,4879,2296,1842,2027,43262,36646,2103,1279,2073,5208,4824,21159
5011,05000US05011,Bradley County,"Bradley County, Arkansas",ar,10511,2554,7957,4537,1423,1345,632,404,733,39510,10822,1200,674,639,1218,1254,5837
5013,05000US05013,Calhoun County,"Calhoun County, Arkansas",ar,5088,1068,4020,1936,518,557,374,136,351,44022,5061,371,131,286,844,437,2992
5015,05000US05015,Carroll County,"Carroll County, Arkansas",ar,27051,5875,21176,11161,3138,3216,2537,905,1365,43505,27597,1539,982,1620,3644,3496,16316
5017,05000US05017,Chicot County,"Chicot County, Arkansas",ar,10512,2608,7904,4308,1766,1128,588,396,430,33051,10151,1386,673,903,1410,1128,4651
5019,05000US05019,Clark County,"Clark County, Arkansas",ar,21598,7394,14204,8505,2693,2259,1398,1039,1116,39752,19658,1897,1013,977,1777,2706,11288
5021,05000US05021,Clay County,"Clay County, Arkansas",ar,14570,3136,11434,6441,2360,1936,1115,487,543,33935,14854,1528,1033,791,2081,1758,7663
5023,05000US05023,Cleburne County,"Cleburne County, Arkansas",ar,24476,4191,20285,10731,2841,3251,2081,1096,1462,43391,24850,1359,852,1420,2837,2764,15618
5025,05000US05025,Cleveland County,"Cleveland County, Arkansas",ar,7960,1965,5995,3292,983,892,567,323,527,42460,8118,867,303,404,1183,624,4737
5027,05000US05027,Columbia County,"Columbia County, Arkansas",ar,22952,6755,16197,8962,3392,2134,1411,774,1251,36148,22080,2770,1382,1411,2495,2683,11339
5029,05000US05029,Conway County,"Conway County, Arkansas",ar,20193,4433,15760,8475,2645,2166,1680,722,1262,41196,20694,908,1447,1417,2484,2355,12083
5031,05000US05031,Craighead County,"Craighead County, Arkansas",ar,101358,29888,71470,40800,11359,10582,6955,4839,7065,45868,101577,7271,4985,6411,11792,12075,59043
5033,05000US05033,Crawford County,"Crawford County, Arkansas",ar,60153,15422,44731,23701,5881,6810,4581,2874,3555,46619,61706,4087,3140,2603,7542,7853,36481
5035,05000US05035,Crittenden County,"Crittenden County, Arkansas",ar,46828,12943,33885,18756,5998,4937,3378,1776,2667,39002,48299,5063,3041,2605,6131,6134,25325
5037,05000US05037,Cross County,"Cross County, Arkansas",ar,16358,3956,12402,6694,1869,1853,1136,829,1007,43838,16694,1466,465,862,2409,1675,9817
5039,05000US05039,Dallas County,"Dallas County, Arkansas",ar,7204,1705,5499,3033,1064,1017,439,270,243,36628,6652,436,129,383,1102,1066,3536
5041,05000US05041,Desha County,"Desha County, Arkansas",ar,11419,2919,8500,5111,2073,1422,879,383,354,30234,11702,1867,623,911,1812,1123,5366
5043,05000US05043,Drew County,"Drew County, Arkansas",ar,17703,5414,12289,7018,2408,1406,1166,938,1100,43014,17419,2049,863,823,2110,1415,10159
5045,05000US05045,Faulkner County,"Faulkner County, Arkansas",ar,117844,36684,81160,44095,10449,11018,7842,5095,9691,51930,117501,8385,4962,6350,12952,10300,74552
5047,05000US05047,Franklin County,"Franklin County, Arkansas",ar,17079,4078,13001,6800,2268,1847,1231,626,828,39463,17457,1737,1158,928,2426,1678,9530
5049,05000US05049,Fulton County,"Fulton County, Arkansas",ar,11742,2347,9395,5000,1962,1217,762,551,508,36184,11878,719,821,1304,1860,1176,5998
5051,05000US05051,Garland County,"Garland County, Arkansas",ar,95057,20000,75057,39894,11298,10922,7372,4167,6135,43146,96502,7388,4362,6211,10821,10482,57238
5053,05000US05053,Grant County,"Grant County, Arkansas",ar,17464,4157,13307,6780,1702,1559,1274,841,1404,51920,17852,1123,884,582,1440,2497,11326
5055,05000US05055,Greene County,"Greene County, Arkansas",ar,42755,10966,31789,16879,4198,4570,3416,2205,2490,47497,43781,3421,1847,1859,5030,5126,26498
5057,05000US05057,Hempstead County,"Hempstead County, Arkansas",ar,20842,5391,15451,7971,2514,2085,1503,978,891,41355,21723,1528,1844,1899,2551,2573,11328
5059,05000US05059,Hot Spring County,"Hot Spring County, Arkansas",ar,32572,7457,25115,12377,3710,3481,2466,1165,1555,41262,31374,1924,1552,2042,4042,3687,18127
5061,05000US05061,Howard County,"Howard County, Arkansas",ar,12874,3223,9651,5096,1815,1400,757,434,690,35900,13167,1090,457,979,2079,1652,6910
5063,05000US05063,Independence County,"Independence County, Arkansas",ar,35811,9266,26545,14268,3837,4115,2836,1548,1932,43523,36173,2457,2108,1689,5022,3782,21115
5065,05000US05065,Izard County,"Izard County, Arkansas",ar,13158,2381,10777,5049,1499,1604,818,700,428,40218,12624,614,643,899,1543,1603,7322
5067,05000US05067,Jackson County,"Jackson County, Arkansas",ar,16752,3430,13322,6095,2311,1789,812,494,689,33174,14197,1203,935,1175,2356,1837,6691
5069,05000US05069,Jefferson County,"Jefferson County, Arkansas",ar,67770,17688,50082,26977,9070,7346,4679,2558,3324,38289,64243,6364,3332,5200,8341,6169,34837
5071,05000US05071,Johnson County,"Johnson County, Arkansas",ar,25352,5974,19378,9800,3265,3168,1562,836,969,37170,25583,1814,1583,2331,4013,3401,12441
5073,05000US05073,Lafayette County,"Lafayette County, Arkansas",ar,6708,1268,5440,2859,1094,745,391,227,402,32412,6759,800,372,330,918,1009,3330
5075,05000US05075,Lawrence County,"Lawrence County, Arkansas",ar,16115,4154,11961,6531,2205,1816,1199,646,665,38528,16068,1065,576,1205,2422,1962,8838
5077,05000US05077,Lee County,"Lee County, Arkansas",ar,9036,1736,7300,3352,1565,723,493,333,238,28367,7727,952,505,552,1210,797,3711
5079,05000US05079,Lincoln County,"Lincoln County, Arkansas",ar,13371,2297,11074,3795,1212,875,726,508,474,45166,8858,700,315,635,1274,1101,4833
5081,05000US05081,Little River County,"Little River County, Arkansas",ar,12009,2474,9535,5440,1631,1342,1076,572,819,45388,12136,619,622,672,1697,1486,7040
5083,05000US05083,Logan County,"Logan County, Arkansas",ar,20986,4838,16148,8464,2555,2666,1596,736,911,39748,21396,1774,1252,1488,2730,2798,11354
5085,05000US05085,Lonoke County,"Lonoke County, Arkansas",ar,69270,18413,50857,26868,5203,6533,5384,4082,5666,57509,71410,3300,2806,2627,6289,7606,48782
5087,05000US05087,Madison County,"Madison County, Arkansas",ar,15434,3359,12075,6195,1928,1510,1015,934,808,43891,15923,1126,369,1185,2708,1571,8964
5089,05000US05089,Marion County,"Marion County, Arkansas",ar,15960,2722,13238,6669,2269,2134,1193,550,523,35518,16252,1505,714,1136,2309,1920,8668
5091,05000US05091,Miller County,"Miller County, Arkansas",ar,41987,10110,31877,16748,5141,4521,2783,1876,2427,41903,42370,4362,2465,2158,5216,4204,23965
5093,05000US05093,Mississippi County,"Mississippi County, Arkansas",ar,40935,10617,30318,16888,5758,4947,2583,1437,2163,37237,41917,4323,2217,4285,6110,4665,20317
5095,05000US05095,Monroe County,"Monroe County, Arkansas",ar,6969,1576,5393,3326,1261,929,447,346,343,35190,7173,993,376,646,904,596,3658
5097,05000US05097,Montgomery County,"Montgomery County, Arkansas",ar,8686,1549,7137,3761,1248,1082,664,341,426,37855,8838,537,530,599,1018,1206,4948
5099,05000US05099,Nevada County,"Nevada County, Arkansas",ar,8230,1815,6415,3303,1181,968,630,200,324,37635,8229,484,1374,421,575,1491,3884
5101,05000US05101,Newton County,"Newton County, Arkansas",ar,7716,1742,5974,2899,1021,812,545,244,277,39896,7781,336,143,624,1136,1033,4509
5103,05000US05103,Ouachita County,"Ouachita County, Arkansas",ar,23208,5220,17988,10055,3654,2683,1675,877,1166,34887,23711,2315,1963,1444,3445,2463,12081
5105,05000US05105,Perry County,"Perry County, Arkansas",ar,9976,2357,7619,3708,950,1088,687,446,537,46071,10184,534,297,898,1515,873,6067
5107,05000US05107,Phillips County,"Phillips County, Arkansas",ar,18378,5082,13296,7498,3326,1815,976,736,645,29263,18837,2680,2316,1256,2434,1605,8546
5109,05000US05109,Pike County,"Pike County, Arkansas",ar,10499,2212,8287,4299,1296,1330,844,275,554,37406,10603,532,399,827,1701,1642,5502
5111,05000US05111,Poinsett County,"Poinsett County, Arkansas",ar,22942,5075,17867,9437,2979,2978,1933,799,748,39277,23511,2181,1702,1240,3193,3058,12137
5113,05000US05113,Polk County,"Polk County, Arkansas",ar,19480,4162,15318,8204,2664,2706,1396,611,827,37035,20015,1609,1321,1977,2662,2871,9575
5115,05000US05115,Pope County,"Pope County, Arkansas",ar,61301,17604,43697,22628,6550,6544,4070,1988,3476,41914,60128,3930,3947,3240,8098,7285,33628
5117,05000US05117,Prairie County,"Prairie County, Arkansas",ar,7976,1542,6434,3826,1172,1189,581,377,507,41846,8068,597,289,380,1112,1195,4495
5119,05000US05119,Pulaski County,"Pulaski County, Arkansas",ar,378059,96850,281209,157083,38360,40065,26684,16836,35138,50093,387158,31495,15437,19003,41093,38323,241807
5121,05000US05121,Randolph County,"Randolph County, Arkansas",ar,16857,3958,12899,7455,2481,2443,1299,450,782,36870,17109,1221,748,1158,3156,2180,8646
5123,05000US05123,St. Francis County,"St. Francis County, Arkansas",ar,25388,5769,19619,9319,3602,2610,1735,543,829,35356,22747,2508,1581,1963,3006,3180,10509
