"Geo_FIPS","Geo_GEOID","Geo_NAME","Geo_QName","Geo_STUSAB","pop3over","school_enrolled","school_not_enrolled","households","pop_under25k","pop25k_49k","pop50k_74k","pop75k_99k","pop100kover","median_income","pov_denom","pov_under2q","pov2q_3q","pov3q_4q","pov4q_6q","pov6q_8q","pov_over8q","school_enrolled_pct","income_under25kpct","income25k_49kpct","pop50k_74kpct","pop75k_99kpct","pop100koverpct","pov_below_line","pov_1_2overline","pov_doubleline"
"01037","05000US01037","Coosa County","Coosa County, Alabama","al",10666,1770,8896,4103,1215,1358,626,411,493,38301,10452,504,281,674,1792,1024,6177,16.5947871741984,29.6124786741409,33.0977333658299,15.2571289300512,10.017060687302,12.0155983426761,13.9590508993494,26.9422120168389,59.0987370838117
"01039","05000US01039","Covington County","Covington County, Alabama","al",36122,7605,28517,15008,4579,4012,2637,1696,2084,40601,36586,2888,1702,2112,3884,4073,21927,21.0536515143126,30.51039445629,26.7324093816631,17.5706289978678,11.3006396588486,13.8859275053305,18.318482479637,21.7487563548898,59.9327611654731
"01041","05000US01041","Crenshaw County","Crenshaw County, Alabama","al",13413,2987,10426,5025,1730,1239,887,471,698,39812,13661,881,526,741,1956,1872,7685,22.2694400954298,34.4278606965174,24.6567164179104,17.6517412935323,9.37313432835821,13.8905472636816,15.7235927091721,28.0213747163458,56.2550325744821
"01043","05000US01043","Cullman County","Cullman County, Alabama","al",79501,16944,62557,30730,8515,9005,5541,3061,4608,42558,81016,5919,4142,2770,8708,11320,48157,21.312939459881,27.7090790758217,29.3036121054344,18.0312398307842,9.96095021151969,14.99511877644,15.8376123234917,24.7210427569863,59.4413449195221
"01045","05000US01045","Dale County","Dale County, Alabama","al",47392,11658,35734,18670,5306,4765,3615,1978,3006,45960,47854,4099,1924,2775,5206,5868,27982,24.5990884537475,28.4199250133905,25.5222281735404,19.3626138189609,10.5945366898768,16.1006963042314,18.3850879759268,23.1412212145275,58.4736908095457
"01047","05000US01047","Dallas County","Dallas County, Alabama","al",38239,10095,28144,16336,6886,4082,2223,1408,1737,31602,39394,5752,3151,3344,5104,4913,17130,26.3997489474097,42.1523016650343,24.9877571008815,13.6079823702253,8.61900097943193,10.632957884427,31.0884906330913,25.4277301111844,43.4837792557242
"01049","05000US01049","DeKalb County","DeKalb County, Alabama","al",68771,16165,52606,26132,8441,7203,4846,2374,3268,39233,70215,6090,4601,4809,11464,7875,35376,23.5055473964316,32.3013929282106,27.5639063217511,18.5443134853819,9.08464717587632,12.50574008878,22.075055187638,27.5425478886278,50.3823969237342
"01051","05000US01051","Elmore County","Elmore County, Alabama","al",78430,18454,59976,29143,5886,6404,5460,4243,7150,59347,76683,3753,2529,3180,5534,6299,55388,23.5292617620808,20.1969598188244,21.9744020862643,18.7352022784202,14.5592423566551,24.534193459836,12.3391103634443,15.431060339319,72.2298292972367
"01053","05000US01053","Escambia County","Escambia County, Alabama","al",36026,7608,28418,13428,5113,3749,1996,1132,1438,35000,34383,4346,1443,2479,4258,4607,17250,21.1180813856659,38.0771522192434,27.91927316056,14.8644623175454,8.43014596365803,10.7089663389931,24.0467672977925,25.7830904807608,50.1701422214466
"01055","05000US01055","Etowah County","Etowah County, Alabama","al",99683,22467,77216,38777,11271,10060,6814,4758,5874,44023,101536,6183,5219,6122,11597,10630,61785,22.5384468765988,29.0661990355107,25.9432137607345,17.5722722232251,12.2701601464786,15.1481548340511,17.2589032461393,21.8907579577687,60.850338796092
"01057","05000US01057","Fayette County","Fayette County, Alabama","al",16012,3637,12375,6947,2266,1974,1281,743,683,37458,16251,1608,770,880,2030,2176,8787,22.7142143392456,32.6183964301137,28.4151432272924,18.4396142219663,10.6952641427955,9.83158197783216,20.0479970463356,25.8814842163559,54.0705187373085
"01059","05000US01059","Franklin County","Franklin County, Alabama","al",30119,7283,22836,11210,3390,3322,1927,1487,1084,40459,31129,2398,1735,2166,3968,4447,16415,24.1807496928849,30.2408563782337,29.6342551293488,17.1900089206066,13.2649420160571,9.66993755575379,20.2351505027466,27.0326705001767,52.7321789970767
"01061","05000US01061","Geneva County","Geneva County, Alabama","al",25494,5557,19937,10479,3785,2674,1678,1167,1175,38142,26177,2097,1467,2718,3177,2388,14330,21.7972856358359,36.1198587651493,25.5177020708083,16.0129783376276,11.1365588319496,11.2129019944651,23.9981663292203,21.2591206020552,54.7427130687245
"01063","05000US01063","Greene County","Greene County, Alabama","al",8065,1745,6320,2955,1612,612,440,137,154,21804,8344,1652,838,735,993,1391,2735,21.6367017978921,54.5516074450085,20.7106598984772,14.8900169204738,4.63620981387479,5.21150592216582,38.650527325024,28.5714285714286,32.7780441035475
"01065","05000US01065","Hale County","Hale County, Alabama","al",14244,3543,10701,5658,2300,1356,911,459,632,30571,14648,1467,1289,1053,2119,1545,7175,24.8736310025274,40.650406504065,23.966065747614,16.1010957935666,8.11240721102863,11.1700247437257,26.0035499726925,25.0136537411251,48.9827962861824
"01067","05000US01067","Henry County","Henry County, Alabama","al",16603,3444,13159,6669,1768,1631,1526,697,1047,48610,16770,964,539,767,2542,1937,10021,20.7432391736433,26.5107212475634,24.4564402459139,22.8819913030439,10.4513420302894,15.6995051731894,13.536076326774,26.7084078711986,59.7555158020274
"01069","05000US01069","Houston County","Houston County, Alabama","al",100727,24782,75945,39253,10839,10298,6813,4182,7121,45496,103287,7940,5346,5627,12093,10446,61835,24.6031352070448,27.6131760629761,26.2349374570097,17.3566351616437,10.6539627544392,18.1412885639314,18.3111136929139,21.821720061576,59.8671662455101
"01071","05000US01071","Jackson County","Jackson County, Alabama","al",50280,10081,40199,20626,6549,6030,3647,1944,2456,39816,51548,4368,2314,3736,7561,5646,27923,20.0497215592681,31.7511878211965,29.2349461844274,17.6815669543295,9.42499757587511,11.9073014641714,20.2102894389695,25.6207806316443,54.1689299293862
"01073","05000US01073","Jefferson County","Jefferson County, Alabama","al",634469,165142,469327,260924,65923,60168,44467,30066,60300,51979,645154,46201,29025,34481,60916,58225,416306,26.0283796371454,25.2652113259033,23.0595882325888,17.0421272094556,11.522895555794,23.1101776762582,17.0047771539818,18.4670636778196,64.5281591681986
"01075","05000US01075","Lamar County","Lamar County, Alabama","al",13491,2966,10525,5974,1976,1700,1094,416,788,36756,13747,1059,609,1248,1824,1732,7275,21.9850270550738,33.0766655507198,28.4566454636759,18.3126883160362,6.96350853699364,13.1904921325745,21.2119007783516,25.8674619917073,52.9206372299411
"01077","05000US01077","Lauderdale County","Lauderdale County, Alabama","al",89668,21734,67934,38514,10091,10537,6837,4617,6432,46265,90283,5797,3685,4221,9589,10353,56638,24.2383012892002,26.200862024199,27.3588824842914,17.7519862906995,11.9878485745443,16.7004206262658,15.1778297132351,22.0883222755114,62.7338480112535
"01079","05000US01079","Lawrence County","Lawrence County, Alabama","al",32143,7330,24813,12811,3553,3576,2261,1227,2194,44515,32879,2014,1613,1881,3385,3311,20675,22.8043430918085,27.7339786121302,27.9135118257747,17.6488954804465,9.57770665834049,17.1259074233081,16.7523343167371,20.3655828948569,62.882082788406
"01081","05000US01081","Lee County","Lee County, Alabama","al",153893,55407,98486,59373,17692,12937,9334,6629,12781,48056,153342,18702,6377,7736,13823,13582,93122,36.0035869077866,29.7980563555825,21.7893655365233,15.7209506004413,11.165007663416,21.5266198440369,21.399877398234,17.8718159408381,60.7283066609279
"01083","05000US01083","Limestone County","Limestone County, Alabama","al",90195,22340,67855,32126,7389,6939,5514,4415,7869,56460,90098,4685,3642,4057,7749,7840,62125,24.7685570153556,23.0000622548714,21.5993276473884,17.1636680570255,13.7427628711947,24.49417916952,13.7450331860863,17.3022708606184,68.9526959532953
"01085","05000US01085","Lowndes County","Lowndes County, Alabama","al",9899,2182,7717,4180,1852,1005,468,364,491,30833,10099,1297,719,804,1636,1086,4557,22.0426305687443,44.3062200956938,24.0430622009569,11.1961722488038,8.70813397129187,11.7464114832536,27.9235567878008,26.9531636795722,45.123279532627
"01087","05000US01087","Macon County","Macon County, Alabama","al",18503,5537,12966,7637,3145,1964,1036,591,901,32074,16688,2344,1194,764,2379,1772,8235,29.9248770469654,41.1810920518528,25.716904543669,13.5655362053162,7.73864082755008,11.7978263716119,25.7790028763183,24.8741610738255,49.3468360498562
"01089","05000US01089","Madison County","Madison County, Alabama","al",345256,94773,250483,145256,29199,30029,23713,17747,44568,63417,348232,20535,11995,13430,26620,25730,249922,27.4500660379544,20.1017513906482,20.6731563584293,16.3249710855318,12.2177397147106,30.6823814506802,13.1980978198442,15.0330813940132,71.7688207861426
"01091","05000US01091","Marengo County","Marengo County, Alabama","al",18837,4639,14198,7768,3243,1828,1034,658,1005,32809,19249,1506,1539,1156,2829,2394,9825,24.6270637574985,41.7481977342945,23.5324407826982,13.3110195674562,8.47064881565396,12.937693099897,21.8245103641748,27.1338770845239,51.0416125513014
"01093","05000US01093","Marion County","Marion County, Alabama","al",29241,6187,23054,12212,4386,3429,1972,919,1506,35392,29463,1741,1690,1713,4005,4584,15730,21.1586471050922,35.9154929577465,28.0789387487717,16.1480510972814,7.5253848673436,12.3321323288569,17.4591860978176,29.151817533856,53.3889963683264
"01095","05000US01095","Marshall County","Marshall County, Alabama","al",91317,22760,68557,34896,10404,9273,5702,3696,5821,42490,93847,8717,5700,5937,11304,9950,52239,24.9241652704316,29.8143053645117,26.5732462173315,16.3399816597891,10.5914718019257,16.680994956442,21.6884929726043,22.6475007192558,55.6640063081398
"01097","05000US01097","Mobile County","Mobile County, Alabama","al",398954,101869,297085,155831,44459,38037,27217,17728,28390,46166,405635,35609,20933,21666,43867,38729,244831,25.5340214661339,28.5302667633526,24.4091355378583,17.4657160641978,11.3764270267148,18.2184546078765,19.2803875405229,20.3621482367153,60.3574642227618
"01099","05000US01099","Monroe County","Monroe County, Alabama","al",20580,4147,16433,8149,3711,1705,1041,651,1041,30141,21226,3798,1273,1490,2342,2312,10011,20.1506316812439,45.5393299791385,20.9228126150448,12.7745735673089,7.98871027119892,12.7745735673089,30.9102044662207,21.9259398850466,47.1638556487327
"01101","05000US01101","Montgomery County","Montgomery County, Alabama","al",217768,57872,159896,89835,25062,21473,15109,10117,18074,47990,219767,21527,11769,12183,23520,20135,130633,26.5750707174608,27.897812656537,23.9027105248511,16.8186118995937,11.2617576668336,20.1191072521846,20.6941897555138,19.8642198328229,59.4415904116633
"01103","05000US01103","Morgan County","Morgan County, Alabama","al",114903,27538,87365,45646,11264,11645,8809,5633,8295,49751,117109,6394,4863,6663,12336,11778,75075,23.9663020112617,24.6768610612102,25.5115453708978,19.2985146562678,12.3406213030715,18.1724576085528,15.3019836220957,20.5910732736169,64.1069431042875
"01105","05000US01105","Perry County","Perry County, Alabama","al",9216,2701,6515,3079,1665,853,260,90,211,23561,8661,683,1707,1226,1223,1041,2781,29.3077256944444,54.0759987008769,27.7037999350438,8.44430009743423,2.92302695680416,6.85287430984086,41.7503752453527,26.1401685717585,32.1094561828888
"01107","05000US01107","Pickens County","Pickens County, Alabama","al",19648,4252,15396,7530,2859,1728,1172,726,1045,37458,18862,1469,1160,1801,2495,1807,10130,21.6408794788274,37.9681274900398,22.9482071713147,15.5644090305445,9.64143426294821,13.8778220451527,23.4863747216626,22.8077616371541,53.7058636411833
"01109","05000US01109","Pike County","Pike County, Alabama","al",32158,11068,21090,11547,4369,3058,1377,1134,1609,34678,31488,4875,2028,1471,2829,4110,16175,34.4175632812986,37.8366675326925,26.483069195462,11.925175370226,9.8207326578332,13.9343552437863,26.5942581300813,22.0369664634146,51.3687754065041
"01111","05000US01111","Randolph County","Randolph County, Alabama","al",21735,4648,17087,8643,2565,2418,1845,734,1081,41449,22073,1854,935,1123,2373,3034,12754,21.3848631239936,29.6771954182576,27.9763970843457,21.3467545990975,8.4924216128659,12.5072312854333,17.7230100122321,24.4959905767227,57.7809994110452
"01113","05000US01113","Russell County","Russell County, Alabama","al",55615,14751,40864,22740,7243,5897,4271,2470,2859,40978,57108,6262,2266,2963,6643,6667,32307,26.5234199406635,31.8513632365875,25.9322779243624,18.7818821459982,10.8619173262973,12.5725593667546,20.1215241297191,23.3067170974294,56.5717587728514
"01115","05000US01115","St. Clair County","St. Clair County, Alabama","al",84170,19169,65001,32172,6964,7503,6940,4498,6267,54887,85339,4119,3485,3664,7648,9090,57333,22.7741475585125,21.6461519333582,23.3215218202163,21.5715529031456,13.9811015790128,19.4796717642671,13.2038106844467,19.6135412882738,67.1826480272794
"01117","05000US01117","Shelby County","Shelby County, Alabama","al",203810,55243,148567,78328,11328,13995,13435,11378,28192,75761,207934,7074,4490,5993,12868,13809,163700,27.1051469505912,14.4622612603411,17.8671739352467,17.1522316413032,14.5260953937289,35.99223776938,8.44354458626295,12.8295516846692,78.7269037290679
"01119","05000US01119","Sumter County","Sumter County, Alabama","al",12590,4118,8472,5047,2732,982,590,392,351,23132,12102,2004,1051,737,1542,2343,4425,32.7084988085782,54.1311670299188,19.4571032296414,11.6901129383792,7.76699029126214,6.95462651079849,31.3336638572137,32.1021318790283,36.5642042637581
"01121","05000US01121","Talladega County","Talladega County, Alabama","al",77852,17860,59992,31407,10028,8317,5565,3524,3973,41012,77204,6197,4422,4782,9912,9240,42651,22.9409649077737,31.9291877606903,26.4813576591206,17.7189798452574,11.22042856688,12.6500461680517,19.9484482669292,24.8070048184032,55.2445469146676
"01123","05000US01123","Tallapoosa County","Tallapoosa County, Alabama","al",39567,8555,31012,16448,5291,3760,3198,1736,2463,43361,40078,3811,1727,2593,4266,5133,22548,21.6215533146309,32.1680447470817,22.8599221789883,19.443093385214,10.5544747081712,14.9744649805447,20.2879385198862,23.4517690503518,56.260292429762
"01125","05000US01125","Tuscaloosa County","Tuscaloosa County, Alabama","al",198894,61026,137868,72379,17876,16566,13135,9326,15476,52221,195629,16528,8204,9326,17615,19024,124932,30.6826751938218,24.6977714530458,22.887854211857,18.1475289794001,12.8849528178063,21.3818925378908,17.4094842789157,18.7288183244815,63.8616973966028
"01127","05000US01127","Walker County","Walker County, Alabama","al",62411,13620,48791,25036,7652,6596,4200,3007,3581,41748,63468,4930,3182,4413,7324,7199,36420,21.8230760603099,30.5639878574852,26.3460616711935,16.7758427863876,12.010704585397,14.3034030995367,19.7343543202874,22.8823974286254,57.3832482510872
"01129","05000US01129","Washington County","Washington County, Alabama","al",16307,3911,12396,6007,1832,1766,993,632,784,40794,16382,945,670,1831,1918,2053,8965,23.983565340038,30.4977526219411,29.3990344597969,16.5307141668054,10.5210587647744,13.0514399866822,21.0352826272738,24.2400195336345,54.7246978390917
"01131","05000US01131","Wilcox County","Wilcox County, Alabama","al",10422,2582,7840,3804,1766,960,563,238,277,27237,10476,1373,907,974,1413,1175,4634,24.7745154480906,46.4248159831756,25.2365930599369,14.8002103049422,6.25657202944269,7.28180862250263,31.061473844979,24.7040855288278,44.2344406261932
"01133","05000US01133","Winston County","Winston County, Alabama","al",23238,4463,18775,9403,3233,2532,1743,952,943,38504,23509,1357,1424,1036,3795,3373,12524,19.2056114984078,34.3826438370733,26.9275763054344,18.5366372434329,10.1244283739232,10.0287142401361,16.2363350206304,30.4904504657791,53.2732145135905
"02013","05000US02013","Aleutians East Borough","Aleutians East Borough, Alaska","ak",3383,505,2878,860,150,154,161,138,257,69706,3415,185,108,232,294,378,2218,14.9275790718297,17.4418604651163,17.906976744186,18.7209302325581,16.046511627907,29.8837209302326,15.3733528550512,19.6778916544656,64.9487554904832
"02016","05000US02016","Aleutians West Census Area","Aleutians West Census Area, Alaska","ak",5622,1002,4620,1176,95,163,218,227,473,85517,5522,160,114,198,501,562,3987,17.8228388473853,8.07823129251701,13.8605442176871,18.5374149659864,19.3027210884354,40.2210884353741,8.54762767113365,19.2502716407099,72.2021006881565
"02020","05000US02020","Anchorage Municipality","Anchorage Municipality, Alaska","ak",282925,76551,206374,106524,11674,17088,19293,14804,43665,83280,288946,11646,7372,7480,17195,17523,227730,27.0569939029778,10.9590327062446,16.0414554466599,18.1114115128985,13.8973376891593,40.9907626450377,9.17057166390952,12.0153938798253,78.8140344562652
"02050","05000US02050","Bethel Census Area","Bethel Census Area, Alaska","ak",16859,5424,11435,4558,1172,948,726,551,1161,54212,17542,1943,1375,1553,2841,2018,7812,32.1727267334955,25.7130320315928,20.7985958753839,15.9280386134269,12.0886353663888,25.4716981132075,27.7676433701972,27.6992361190286,44.5331205107741
"02060","05000US02060","Bristol Bay Borough","Bristol Bay Borough, Alaska","ak",850,193,657,333,39,54,53,56,131,84688,863,33,6,11,67,62,684,22.7058823529412,11.7117117117117,16.2162162162162,15.9159159159159,16.8168168168168,39.3393393393393,5.79374275782155,14.9478563151796,79.2584009269988
"02068","05000US02068","Denali Borough","Denali Borough, Alaska","ak",2200,340,1860,639,73,115,91,114,246,84196,2177,254,96,19,139,297,1372,15.4545454545455,11.4241001564945,17.9968701095462,14.2410015649452,17.8403755868545,38.4976525821596,16.9499310978411,20.0275608635737,63.0225080385852
"02070","05000US02070","Dillingham Census Area","Dillingham Census Area, Alaska","ak",4714,1281,3433,1420,304,314,266,177,359,58750,4923,440,242,167,674,688,2712,27.1743742044972,21.4084507042254,22.112676056338,18.7323943661972,12.4647887323944,25.2816901408451,17.2455819622182,27.666057282145,55.0883607556368
"02090","05000US02090","Fairbanks North Star Borough","Fairbanks North Star Borough, Alaska","ak",94638,27209,67429,36513,3971,7220,6540,5802,12980,77095,95430,3851,1311,2587,6587,7329,73765,28.7506075783512,10.8755785610604,19.7737792019281,17.9114288061786,15.8902308766741,35.5489825541588,8.12008802263439,14.5824164308918,77.2974955464739
"02100","05000US02100","Haines Borough","Haines Borough, Alaska","ak",2443,489,1954,1026,133,259,190,148,296,64342,2479,146,34,44,171,251,1833,20.0163733115022,12.962962962963,25.2436647173489,18.5185185185185,14.4249512670565,28.8499025341131,9.03590157321501,17.0229931423961,73.9411052843889
"02105","05000US02105","Hoonah-Angoon Census Area","Hoonah-Angoon Census Area, Alaska","ak",2069,323,1746,799,122,176,164,143,194,63603,2131,56,53,98,242,229,1453,15.6114064765587,15.2690863579474,22.0275344180225,20.5256570713392,17.8973717146433,24.2803504380476,9.71374941342093,22.1022993899578,68.1839511966213
"02110","05000US02110","Juneau City and Borough","Juneau City and Borough, Alaska","ak",31278,7575,23703,12521,1274,1548,2288,1957,5454,88213,31799,1248,372,894,1091,1480,26714,24.2183004028391,10.1749061576551,12.3632297739797,18.2733008545643,15.6297420333839,43.5588211804169,7.90590899084877,8.08515991068902,84.0089310984622
"02122","05000US02122","Kenai Peninsula Borough","Kenai Peninsula Borough, Alaska","ak",56256,12547,43709,21741,4036,4070,3869,2826,6940,66684,56934,3102,1655,2070,5067,4702,40338,22.3033987485779,18.5640034956994,18.720390046456,17.7958695552183,12.9984821305368,31.9212547720896,11.9910773878526,17.158464186602,70.8504584255454
"02130","05000US02130","Ketchikan Gateway Borough","Ketchikan Gateway Borough, Alaska","ak",13268,2913,10355,5327,828,1030,1040,735,1694,70356,13585,684,204,545,883,1145,10124,21.9550798914682,15.5434578562042,19.335460859771,19.5231837807396,13.7976346911958,31.8002628120894,10.5483989694516,14.9282296650718,74.5233713654766
"02150","05000US02150","Kodiak Island Borough","Kodiak Island Borough, Alaska","ak",13047,3529,9518,4373,618,577,927,630,1621,78281,13373,388,478,377,547,1754,9829,27.0483636084924,14.1321747084381,13.1946032471987,21.1982620626572,14.4065858678253,37.0683741138806,9.29484782771256,17.2063112241083,73.4988409481792
"02158","05000US02158","Kusilvak Census Area","Kusilvak Census Area, Alaska","ak",7553,2634,4919,1692,564,542,303,123,160,35539,8148,1490,779,1027,1804,876,2172,34.873560174765,33.3333333333333,32.033096926714,17.9078014184397,7.26950354609929,9.45626477541371,40.4516445753559,32.8915071183112,26.6568483063328
"02164","05000US02164","Lake and Peninsula Borough","Lake and Peninsula Borough, Alaska","ak",1321,340,981,425,111,123,86,44,61,46406,1366,87,69,61,215,136,798,25.7380772142316,26.1176470588235,28.9411764705882,20.2352941176471,10.3529411764706,14.3529411764706,15.8857979502196,25.6954612005857,58.4187408491947
"02170","05000US02170","Matanuska-Susitna Borough","Matanuska-Susitna Borough, Alaska","ak",99173,26752,72421,30879,4979,5347,4955,4266,11332,75905,101349,5042,2279,3155,6250,7873,76750,26.9750839442187,16.1242268208167,17.3159752582661,16.0465040966353,13.8152142232585,36.6980796010233,10.3365598081876,13.935016625719,75.7284235660934
"02180","05000US02180","Nome Census Area","Nome Census Area, Alaska","ak",9353,2917,6436,2875,558,672,545,448,652,58987,9599,989,508,724,1201,1163,5014,31.1878541644392,19.4086956521739,23.3739130434783,18.9565217391304,15.5826086956522,22.6782608695652,23.1378268569643,24.6275653713929,52.2346077716429
"02185","05000US02185","North Slope Borough","North Slope Borough, Alaska","ak",9319,2183,7136,1966,281,380,317,303,685,75431,9682,446,127,331,772,823,7183,23.4252602210538,14.292980671414,19.3285859613428,16.1241098677518,15.412004069176,34.8423194303154,9.33691386077257,16.4738690353233,74.1892171039041
"02188","05000US02188","Northwest Arctic Borough","Northwest Arctic Borough, Alaska","ak",7264,2257,5007,1860,375,405,305,211,564,62949,7656,884,554,483,947,931,3857,31.0710352422908,20.1612903225806,21.7741935483871,16.3978494623656,11.3440860215054,30.3225806451613,25.0914315569488,24.5297805642633,50.3787878787879
"02195","05000US02195","Petersburg Borough","Petersburg Borough, Alaska","ak",3142,653,2489,1170,198,222,240,150,360,66907,3242,99,74,94,197,228,2550,20.7829408020369,16.9230769230769,18.974358974359,20.5128205128205,12.8205128205128,30.7692307692308,8.23565700185071,13.1091918568785,78.6551511412708
"02198","05000US02198","Prince of Wales-Hyder Census Area","Prince of Wales-Hyder Census Area, Alaska","ak",6223,1412,4811,2356,512,568,459,312,505,54191,6415,371,214,387,682,608,4153,22.6900208902459,21.7317487266553,24.1086587436333,19.4821731748727,13.2427843803056,21.4346349745331,15.1519875292284,20.1091192517537,64.7388932190179
