"fips","interval15min_num","name","state","interval15min","tot_exp_vote","total.votes","trumpd","bidenj","abs_trumpd","abs_bidenj","lag_total_votes","lag_bidenj","lag_trumpd","total_vote_chg","biden_chg","trump_chg","prop_expect_returned","dem_pct","dem2party_pct"
"01065",2042,"HALE","ALABAMA","2020-11-24 13:11:00",7904,7900,3192,4663,172,1291,7900,4663,3192,0,0,0,99.9493927125506,59.0253164556962,59.3634627625716
"01067",2042,"HENRY","ALABAMA","2020-11-24 13:11:00",9298,9298,6607,2606,0,0,9298,2606,6607,0,0,0,100,28.0275328027533,28.2861174427439
"01069",2042,"HOUSTON","ALABAMA","2020-11-24 13:11:00",46173,46173,32618,12917,0,0,46173,12917,32618,0,0,0,100,27.9752236155329,28.3671900735698
"01071",2042,"JACKSON","ALABAMA","2020-11-24 13:11:00",23636,23636,19670,3717,0,0,23636,3717,19670,0,0,0,100,15.7260111694026,15.8934450763245
"01073",2042,"JEFFERSON","ALABAMA","2020-11-24 13:11:00",325848,325848,138843,181688,0,0,325848,181688,138843,0,0,0,100,55.7585131717856,56.6834409152313
"01075",2042,"LAMAR","ALABAMA","2020-11-24 13:11:00",7193,7193,6174,978,350,122,7193,978,6174,0,0,0,100,13.5965522035312,13.6744966442953
"01077",2042,"LAUDERDALE","ALABAMA","2020-11-24 13:11:00",44339,44339,31721,11915,0,0,44339,11915,31721,0,0,0,100,26.8725050181556,27.3054358786323
"01079",2042,"LAWRENCE","ALABAMA","2020-11-24 13:11:00",16031,16031,12322,3562,437,419,16031,3562,12322,0,0,0,100,22.2194498159815,22.4250818433644
"01081",2042,"LEE","ALABAMA","2020-11-24 13:11:00",71449,71449,42221,27860,0,0,71449,27860,42221,0,0,0,100,38.992848045459,39.753998944079
"01083",2042,"LIMESTONE","ALABAMA","2020-11-24 13:11:00",49235,49235,34640,13672,0,0,49235,13672,34640,0,0,0,100,27.7688636132832,28.2993873157808
"01085",2042,"LOWNDES","ALABAMA","2020-11-24 13:11:00",6835,6835,1836,4972,0,0,6835,4972,1836,0,0,0,100,72.7432333577176,73.0317273795535
"01087",2042,"MACON","ALABAMA","2020-11-24 13:11:00",8723,8723,1541,7108,0,0,8723,7108,1541,0,0,0,100,81.4857273873667,82.1829113192277
"01089",2042,"MADISON","ALABAMA","2020-11-24 13:11:00",194767,194767,102780,87286,0,0,194767,87286,102780,0,0,0,100,44.815600178675,45.9240474361538
"01091",2042,"MARENGO","ALABAMA","2020-11-24 13:11:00",10900,10900,5343,5488,0,0,10900,5488,5343,0,0,0,100,50.348623853211,50.6693749422953
"01093",2042,"MARION","ALABAMA","2020-11-24 13:11:00",13807,13807,12205,1463,0,0,13807,1463,12205,0,0,0,100,10.5960744549866,10.7038337723149
"01095",2042,"MARSHALL","ALABAMA","2020-11-24 13:11:00",39655,39655,33191,5943,0,0,39655,5943,33191,0,0,0,100,14.9867608120035,15.1862830275464
"01097",2042,"MOBILE","ALABAMA","2020-11-24 13:11:00",183164,183164,101243,79474,0,0,183164,79474,101243,0,0,0,100,43.3895306938045,43.9770469850651
"01099",2042,"MONROE","ALABAMA","2020-11-24 13:11:00",10668,10668,6147,4455,367,887,10668,4455,6147,0,0,0,100,41.7604049493813,42.0203735144312
"01101",2042,"MONTGOMERY","ALABAMA","2020-11-24 13:11:00",99139,99139,33311,64529,0,0,99139,64529,33311,0,0,0,100,65.0894199053854,65.9535977105478
"01103",2042,"MORGAN","ALABAMA","2020-11-24 13:11:00",53722,53722,39664,13234,0,0,53722,13234,39664,0,0,0,100,24.634228062991,25.017959091081
"01105",2042,"PERRY","ALABAMA","2020-11-24 13:11:00",5230,5230,1339,3860,142,1057,5230,3860,1339,0,0,0,100,73.8049713193117,74.245047124447
"01107",2042,"PICKENS","ALABAMA","2020-11-24 13:11:00",9668,9668,5594,4022,0,0,9668,4022,5594,0,0,0,100,41.6011584609019,41.8261231281198
"01109",2042,"PIKE","ALABAMA","2020-11-24 13:11:00",13841,13841,8042,5636,435,702,13841,5636,8042,0,0,0,100,40.7196011848855,41.2048545108934
"01111",2042,"RANDOLPH","ALABAMA","2020-11-24 13:11:00",10837,10837,8559,2203,0,0,10837,2203,8559,0,0,0,100,20.3285041985789,20.4701728303289
"01113",2042,"RUSSELL","ALABAMA","2020-11-24 13:11:00",21329,21329,9864,11228,0,0,21329,11228,9864,0,0,0,100,52.6419428946505,53.2334534420633
"01115",2042,"ST. CLAIR","ALABAMA","2020-11-24 13:11:00",44441,44441,36166,7744,0,0,44441,7744,36166,0,0,0,100,17.425350464661,17.6360737872922
"01117",2042,"SHELBY","ALABAMA","2020-11-24 13:11:00",114950,114950,79700,33268,0,0,114950,33268,79700,0,0,0,100,28.9412788168769,29.4490475178812
"01119",2042,"SUMTER","ALABAMA","2020-11-24 13:11:00",6291,6291,1598,4648,0,0,6291,4648,1598,0,0,0,100,73.8833253854713,74.4156260006404
"01121",2042,"TALLADEGA","ALABAMA","2020-11-24 13:11:00",35663,35663,22235,13138,5882,6138,35663,13138,22235,0,0,0,100,36.8393012365757,37.1413224775959
"01123",2042,"TALLAPOOSA","ALABAMA","2020-11-24 13:11:00",20991,20991,14963,5859,0,0,20991,5859,14963,0,0,0,100,27.9119622695441,28.1385073479973
"01125",2042,"TUSCALOOSA","ALABAMA","2020-11-24 13:11:00",90172,90172,51117,37765,0,0,90172,37765,51117,0,0,0,100,41.8810717295835,42.4889178911366
"01127",2042,"WALKER","ALABAMA","2020-11-24 13:11:00",31170,31170,26002,4834,0,0,31170,4834,26002,0,0,0,100,15.5085017645172,15.6764820339863
"01129",2042,"WASHINGTON","ALABAMA","2020-11-24 13:11:00",8876,8876,6564,2258,0,0,8876,2258,6564,0,0,0,100,25.4393871113114,25.5951031512129
"01131",2042,"WILCOX","ALABAMA","2020-11-24 13:11:00",5903,5903,1833,4048,0,0,5903,4048,1833,0,0,0,100,68.5753006945621,68.8318313212039
"01133",2042,"WINSTON","ALABAMA","2020-11-24 13:11:00",11284,11284,10195,974,0,0,11284,974,10195,0,0,0,100,8.63169088975541,8.72056585191154
"02901",2731,"ED 1","ALASKA","2020-12-01 17:26:00",7634,7360,3511,3477,1412,2138,7360,3477,3511,0,0,0,96.4107938171339,47.241847826087,49.756725815684
"02902",2731,"ED 2","ALASKA","2020-12-01 17:26:00",6316,6161,3674,2104,1314,1279,6161,2104,3674,0,0,0,97.5459151361621,34.1503002759292,36.4139840775355
"02903",2731,"ED 3","ALASKA","2020-12-01 17:26:00",8755,8385,6076,1903,1789,1172,8385,1903,6076,0,0,0,95.7738435179897,22.6952892069171,23.8501065296403
"02904",2731,"ED 4","ALASKA","2020-12-01 17:26:00",10949,10587,4690,5345,1750,3653,10585,5347,4687,2,-2,3,96.6937619873961,50.4864456408803,53.2635774788241
"02905",2731,"ED 5","ALASKA","2020-12-01 17:26:00",9092,8706,4077,4204,1497,2856,8654,4204,4077,52,0,0,95.7545094588649,48.2885366413967,50.7668156019804
"02906",2731,"ED 6","ALASKA","2020-12-01 17:26:00",9729,9518,5770,3272,1869,1666,9460,3272,5770,58,0,0,97.8312262308562,34.3769699516705,36.1866843618668
"02907",2731,"ED 7","ALASKA","2020-12-01 17:26:00",9538,9622,7027,2215,3777,1646,9622,2215,7027,0,0,0,100.880687775215,23.0201621284556,23.9666738801125
"02908",2731,"ED 8","ALASKA","2020-12-01 17:26:00",9284,9912,7618,1953,2995,1327,9912,1953,7618,0,0,0,106.764325721672,19.7033898305085,20.405391286177
"02909",2731,"ED 9","ALASKA","2020-12-01 17:26:00",10297,10993,7787,2769,2,2,10993,2769,7787,0,0,0,106.759250267068,25.1887564813973,26.2315270935961
"02910",2731,"ED 10","ALASKA","2020-12-01 17:26:00",10396,11205,8081,2727,3636,1902,11205,2727,8081,0,0,0,107.781839168911,24.3373493975904,25.2313101406366
"02911",2731,"ED 11","ALASKA","2020-12-01 17:26:00",11142,10628,7096,3130,3491,2245,10628,3130,7096,0,0,0,95.3868246275354,29.4505080918329,30.6082534715431
"02912",2731,"ED 12","ALASKA","2020-12-01 17:26:00",10974,11238,7893,2957,3429,2113,11238,2957,7893,0,0,0,102.405686167305,26.3125111229756,27.2534562211982
"02913",2731,"ED 13","ALASKA","2020-12-01 17:26:00",7513,7713,4652,2666,2284,1943,7713,2666,4652,0,0,0,102.662052442433,34.5650200959419,36.4307187756218
"02914",2731,"ED 14","ALASKA","2020-12-01 17:26:00",11983,11443,6714,4261,3597,3328,11443,4261,6714,0,0,0,95.4936159559376,37.2367386174954,38.8246013667426
"02915",2731,"ED 15","ALASKA","2020-12-01 17:26:00",5729,5559,2671,2622,1309,1741,5559,2622,2671,0,0,0,97.0326409495549,47.1667566109012,49.537124504062
"02916",2731,"ED 16","ALASKA","2020-12-01 17:26:00",8551,8121,3519,4273,1506,2972,8121,4273,3519,0,0,0,94.9713483803064,52.6166728235439,54.838295687885
"02917",2731,"ED 17","ALASKA","2020-12-01 17:26:00",7806,7239,2810,4136,1310,2980,7239,4136,2810,0,0,0,92.7363566487317,57.1349633927338,59.545061906133
"02918",2731,"ED 18","ALASKA","2020-12-01 17:26:00",8512,7720,2760,4681,1454,3517,7720,4681,2760,0,0,0,90.6954887218045,60.6347150259067,62.9082112619272
"02919",2731,"ED 19","ALASKA","2020-12-01 17:26:00",5511,5301,1975,3118,780,2028,5301,3118,1975,0,0,0,96.1894393032118,58.8190907375967,61.2212841154526
"02920",2731,"ED 20","ALASKA","2020-12-01 17:26:00",8211,7497,2383,4881,1313,3762,7497,4881,2383,0,0,0,91.304347826087,65.1060424169668,67.1943832599119
"02921",2731,"ED 21","ALASKA","2020-12-01 17:26:00",9944,9429,3690,5414,1679,3973,9429,5414,3690,0,0,0,94.8209975864843,57.4186021847492,59.4683655536028
"02922",2731,"ED 22","ALASKA","2020-12-01 17:26:00",9628,9520,4684,4553,1944,3211,9520,4553,4684,0,0,0,98.8782717075197,47.8256302521008,49.2908953123308
"02923",2731,"ED 23","ALASKA","2020-12-01 17:26:00",7963,7739,3655,3810,1517,2561,7739,3810,3655,0,0,0,97.1869898279543,49.2311668174183,51.0381781647689
"02924",2731,"ED 24","ALASKA","2020-12-01 17:26:00",10684,10428,5378,4736,2442,3535,10428,4736,5378,0,0,0,97.6038936727817,45.4161871883391,46.8261815305517
"02925",2731,"ED 25","ALASKA","2020-12-01 17:26:00",9346,9325,4407,4600,1826,3342,9325,4600,4407,0,0,0,99.7753049432912,49.3297587131367,51.0713889197291
"02926",2731,"ED 26","ALASKA","2020-12-01 17:26:00",10241,10111,5243,4558,2496,3362,10111,4558,5243,0,0,0,98.7305927155551,45.0796162595193,46.5054586266707
"02927",2731,"ED 27","ALASKA","2020-12-01 17:26:00",10100,9506,4324,4844,1905,3524,9506,4844,4324,0,0,0,94.1188118811881,50.9572901325479,52.8359511343805
"02928",2731,"ED 28","ALASKA","2020-12-01 17:26:00",13141,12749,6162,6264,2926,4648,12749,6264,6162,0,0,0,97.0169697892093,49.1332653541454,50.410429744085
"02929",2731,"ED 29","ALASKA","2020-12-01 17:26:00",10803,10747,7464,2985,2734,1971,10747,2985,7464,0,0,0,99.4816254744052,27.7751930771378,28.5673270169394
"02930",2731,"ED 30","ALASKA","2020-12-01 17:26:00",10293,10177,7182,2637,3114,1871,10177,2637,7182,0,0,0,98.8730204993685,25.9113687727228,26.8560953253895
"02931",2731,"ED 31","ALASKA","2020-12-01 17:26:00",11709,12410,6971,5037,2807,3716,12410,5037,6971,0,0,0,105.986847723973,40.5882352941176,41.9470353097935
"02932",2731,"ED 32","ALASKA","2020-12-01 17:26:00",8593,8335,4440,3506,0,0,8335,3506,4440,0,0,0,96.9975561503549,42.0635872825435,44.1228290964007
"02933",2731,"ED 33","ALASKA","2020-12-01 17:26:00",11424,10955,3059,7535,1642,5955,10955,7535,3059,0,0,0,95.8946078431373,68.7813783660429,71.1251651878422
"02934",2731,"ED 34","ALASKA","2020-12-01 17:26:00",10846,10729,4543,5763,2877,4862,10729,5763,4543,0,0,0,98.9212612944865,53.7142324540964,55.918882204541
"02935",2731,"ED 35","ALASKA","2020-12-01 17:26:00",10398,10100,4768,5010,2245,3435,10100,5010,4768,0,0,0,97.1340642431237,49.6039603960396,51.2374718756392
"02936",2731,"ED 36","ALASKA","2020-12-01 17:26:00",9504,9292,5114,3796,1619,1973,9292,3796,5114,0,0,0,97.7693602693603,40.8523461041756,42.6038159371493
"02937",2731,"ED 37","ALASKA","2020-12-01 17:26:00",5821,5066,2324,2522,0,0,5066,2522,2324,0,0,0,87.029719979385,49.7828661666009,52.0429219975237
"02938",2731,"ED 38","ALASKA","2020-12-01 17:26:00",5859,5299,1737,3202,331,921,5299,3202,1737,0,0,0,90.442054958184,60.426495565201,64.8309374367281
"02939",2731,"ED 39","ALASKA","2020-12-01 17:26:00",6485,5811,1896,3550,93,176,5811,3550,1896,0,0,0,89.6067848882035,61.0910342453967,65.1854572163055
"02940",2731,"ED 40","ALASKA","2020-12-01 17:26:00",5302,4590,1993,2308,0,0,4590,2308,1993,0,0,0,86.5711052433044,50.2832244008715,53.661939083934
"04001",2650,"APACHE","ARIZONA","2020-11-30 21:11:00",35172,35183,11442,23293,7262,16460,35183,23293,11442,0,0,0,100.031274877744,66.2052695904272,67.0591622283
"04003",2650,"COCHISE","ARIZONA","2020-11-30 21:11:00",60442,60473,35557,23732,25934,21563,60473,23732,35557,0,0,0,100.051288838887,39.2439601144312,40.0276611175766
"04005",2650,"COCONINO","ARIZONA","2020-11-30 21:11:00",73272,73346,27052,44698,20311,39430,73346,44698,27052,0,0,0,100.100993558249,60.9412919586617,62.2968641114983
"04007",2650,"GILA","ARIZONA","2020-11-30 21:11:00",27662,27678,18377,8943,15005,7481,27678,8943,18377,0,0,0,100.057841081628,32.3108606113158,32.7342606149341
"04009",2650,"GRAHAM","ARIZONA","2020-11-30 21:11:00",14996,14996,10749,4034,7289,2944,14996,4034,10749,0,0,0,100,26.9005068018138,27.2881011973212
"04011",2650,"GREENLEE","ARIZONA","2020-11-30 21:11:00",3688,3688,2433,1182,1571,996,3688,1182,2433,0,0,0,100,32.0498915401302,32.6970954356846
"04012",2650,"LA PAZ","ARIZONA","2020-11-30 21:11:00",7460,7460,5129,2236,2936,1508,7460,2236,5129,0,0,0,100,29.9731903485255,30.3598099117447
"04013",2650,"MARICOPA","ARIZONA","2020-11-30 21:11:00",2068144,2069475,995665,1040774,889400,978457,2069475,1040774,995665,0,0,0,100.064357220774,50.2916923374286,51.1075460644782
"04015",2650,"MOHAVE","ARIZONA","2020-11-30 21:11:00",104705,104705,78535,24831,56914,21783,104705,24831,78535,0,0,0,100,23.7151998471897,24.0224058200956
"04017",2650,"NAVAJO","ARIZONA","2020-11-30 21:11:00",51783,51783,27657,23383,18787,16867,51783,23383,27657,0,0,0,100,45.155746094278,45.8130877742947
"04019",2650,"PIMA","ARIZONA","2020-11-30 21:11:00",520735,520735,207758,304981,165747,282457,520735,304981,207758,0,0,0,100,58.5674095269187,59.4807494651275
"04021",2650,"PINAL","ARIZONA","2020-11-30 21:11:00",185037,185037,107077,75106,80293,65042,185037,75106,107077,0,0,0,100,40.5897198938591,41.2255808719804
"04023",2650,"SANTA CRUZ","ARIZONA","2020-11-30 21:11:00",19561,19561,6194,13138,4481,10994,19561,13138,6194,0,0,0,100,67.1642554061653,67.9598593006414
"04025",2650,"YAVAPAI","ARIZONA","2020-11-30 21:11:00",143280,143280,91527,49602,76416,46865,143280,49602,91527,0,0,0,100,34.6189279731993,35.1465680335013
"04027",2650,"YUMA","ARIZONA","2020-11-30 21:11:00",69926,69926,36534,32210,30226,28134,69926,32210,36534,0,0,0,100,46.0629808654864,46.8549982543931
"05001",2640,"ARKANSAS","ARKANSAS","2020-11-30 18:41:00",6292,6292,4304,1818,3803,1591,6292,1818,4304,0,0,0,100,28.893833439288,29.6961777196994
"05003",2640,"ASHLEY","ARKANSAS","2020-11-30 18:41:00",7926,7926,5548,2125,5540,2119,7926,2125,5548,0,0,0,100,26.810497098158,27.6945132282028
"05005",2640,"BAXTER","ARKANSAS","2020-11-30 18:41:00",21007,21007,15836,4635,13296,4186,21007,4635,15836,0,0,0,100,22.0640738801352,22.6417859410874
"05007",2640,"BENTON","ARKANSAS","2020-11-30 18:41:00",119912,119912,73965,42249,62366,37684,119912,42249,73965,0,0,0,100,35.2333377810394,36.3544839692292
"05009",2640,"BOONE","ARKANSAS","2020-11-30 18:41:00",17114,17114,13652,3064,9946,2572,17114,3064,13652,0,0,0,100,17.903470842585,18.3297439578847
"05011",2640,"BRADLEY","ARKANSAS","2020-11-30 18:41:00",3654,3654,2335,1214,1561,921,3654,1214,2335,0,0,0,100,33.223864258347,34.2068188222034
"05013",2640,"CALHOUN","ARKANSAS","2020-11-30 18:41:00",2182,2182,1636,479,1030,339,2182,479,1636,0,0,0,100,21.9523373052246,22.6477541371158
"05015",2640,"CARROLL","ARKANSAS","2020-11-30 18:41:00",11797,11797,7424,4023,5489,3562,11797,4023,7424,0,0,0,100,34.101890311096,35.1445793657727
"05017",2640,"CHICOT","ARKANSAS","2020-11-30 18:41:00",4103,4103,1752,2260,1390,1436,4103,2260,1752,0,0,0,100,55.0816475749452,56.3310069790628
"05019",2640,"CLARK","ARKANSAS","2020-11-30 18:41:00",8395,8395,4616,3438,3356,2928,8395,3438,4616,0,0,0,100,40.9529481834425,42.686863670226
"05021",2640,"CLAY","ARKANSAS","2020-11-30 18:41:00",5183,5183,4086,962,1087,269,5183,962,4086,0,0,0,100,18.5606791433533,19.0570522979398
"05023",2640,"CLEBURNE","ARKANSAS","2020-11-30 18:41:00",12680,12680,10328,1988,6712,1530,12680,1988,10328,0,0,0,100,15.6782334384858,16.1416044170185
"05025",2640,"CLEVELAND","ARKANSAS","2020-11-30 18:41:00",3600,3600,2867,651,1654,461,3600,651,2867,0,0,0,100,18.0833333333333,18.5048322910745
"05027",2640,"COLUMBIA","ARKANSAS","2020-11-30 18:41:00",8616,8616,5500,2814,4713,2363,8616,2814,5500,0,0,0,100,32.6601671309192,33.8465239355304
"05029",2640,"CONWAY","ARKANSAS","2020-11-30 18:41:00",8685,8685,5694,2615,3640,2101,8685,2615,5694,0,0,0,100,30.1093839953944,31.4718979419906
"05031",2640,"CRAIGHEAD","ARKANSAS","2020-11-30 18:41:00",38511,38511,25558,11921,18477,9435,38511,11921,25558,0,0,0,100,30.9547921373114,31.8071453347208
"05033",2640,"CRAWFORD","ARKANSAS","2020-11-30 18:41:00",24091,24091,18607,4959,14299,4132,24091,4959,18607,0,0,0,100,20.5844506247146,21.043028091318
"05035",2640,"CRITTENDEN","ARKANSAS","2020-11-30 18:41:00",16367,16367,7333,8514,6182,6750,16367,8514,7333,0,0,0,100,52.0193071424207,53.7262573357733
"05037",2640,"CROSS","ARKANSAS","2020-11-30 18:41:00",6942,6942,4946,1772,3952,1428,6942,1772,4946,0,0,0,100,25.5257850763469,26.3768978862757
"05039",2640,"DALLAS","ARKANSAS","2020-11-30 18:41:00",2649,2649,1573,963,928,712,2649,963,1573,0,0,0,100,36.3533408833522,37.9731861198738
"05041",2640,"DESHA","ARKANSAS","2020-11-30 18:41:00",4164,4164,1921,2016,1503,1514,4164,2016,1921,0,0,0,100,48.4149855907781,51.2065024130048
"05043",2640,"DREW","ARKANSAS","2020-11-30 18:41:00",6908,6908,4349,2426,3399,1967,6908,2426,4349,0,0,0,100,35.1187029530979,35.8081180811808
"05045",2640,"FAULKNER","ARKANSAS","2020-11-30 18:41:00",54428,54428,34421,18347,29266,16278,54428,18347,34421,0,0,0,100,33.7087528477989,34.7691782898726
"05047",2640,"FRANKLIN","ARKANSAS","2020-11-30 18:41:00",7129,7129,5677,1300,4309,1071,7129,1300,5677,0,0,0,100,18.2353766306635,18.6326501361617
"05049",2640,"FULTON","ARKANSAS","2020-11-30 18:41:00",5119,5119,3961,1035,2650,823,5119,1035,3961,0,0,0,100,20.2187927329557,20.7165732586069
"05051",2640,"GARLAND","ARKANSAS","2020-11-30 18:41:00",44199,44199,29069,14045,24871,12674,44199,14045,29069,0,0,0,100,31.7767370302496,32.5764252910887
"05053",2640,"GRANT","ARKANSAS","2020-11-30 18:41:00",8200,8200,6794,1268,4922,1015,8200,1268,6794,0,0,0,100,15.4634146341463,15.7281071694369
"05055",2640,"GREENE","ARKANSAS","2020-11-30 18:41:00",16100,16100,12670,3058,10353,2617,16100,3058,12670,0,0,0,100,18.9937888198758,19.4430315361139
"05057",2640,"HEMPSTEAD","ARKANSAS","2020-11-30 18:41:00",6848,6848,4470,2138,2837,1683,6848,2138,4470,0,0,0,100,31.2207943925234,32.3547215496368
"05059",2640,"HOT SPRING","ARKANSAS","2020-11-30 18:41:00",12557,12557,9202,3082,7589,2681,12557,3082,9202,0,0,0,100,24.5440789997611,25.089547378704
"05061",2640,"HOWARD","ARKANSAS","2020-11-30 18:41:00",4834,4834,3367,1340,3192,1182,4834,1340,3367,0,0,0,100,27.7203144393877,28.4682387932866
"05063",2640,"INDEPENDENCE","ARKANSAS","2020-11-30 18:41:00",14512,14512,11250,2806,8388,2317,14512,2806,11250,0,0,0,100,19.3357221609702,19.9630051223677
"05065",2640,"IZARD","ARKANSAS","2020-11-30 18:41:00",5810,5810,4631,1021,3211,814,5810,1021,4631,0,0,0,100,17.5731497418244,18.0644019815994
"05067",2640,"JACKSON","ARKANSAS","2020-11-30 18:41:00",5091,5091,3593,1365,2357,1085,5091,1365,3593,0,0,0,100,26.8120212139069,27.5312626058895
"05069",2640,"JEFFERSON","ARKANSAS","2020-11-30 18:41:00",25158,25158,9521,14981,4973,10925,25158,14981,9521,0,0,0,100,59.5476587964067,61.1419475961146
"05071",2640,"JOHNSON","ARKANSAS","2020-11-30 18:41:00",9498,9498,6938,2283,4519,1761,9498,2283,6938,0,0,0,100,24.0366392924826,24.7587029606333
"05073",2640,"LAFAYETTE","ARKANSAS","2020-11-30 18:41:00",2679,2679,1757,839,1574,679,2679,839,1757,0,0,0,100,31.317655841732,32.3189522342065
"05075",2640,"LAWRENCE","ARKANSAS","2020-11-30 18:41:00",5857,5857,4569,1080,3032,823,5857,1080,4569,0,0,0,100,18.4394741335154,19.1184280403611
